cytof_id,Eosinophils,Neutrophils,NonNeutrophils,NonEosinophils,B.cells,NonTB,NK,CD56bright.CD16neg.NK,CD56dim.CD16pos.NK,NonNK,CD14neg.CD16neg,CD123pos,Basophils,pDCs,mDCs,Classical.monocytes,Intermediate.monocytes,Nonclassical.monocytes,T.cells,CD4T,CD4T.TCM,CD4T.Naive,CD4T.TEMRA,CD4T.TEM,Tregs,CD8T,CD8T.TCM,CD8T.Naive,CD8T.TEMRA,CD8T.TEM,HLADRpos.T,TCRgd.cells
453611607,3.0994,16.5099,83.7041,80.271,8.6731,25.2709,13.2511,0.5462,6.9872,11.932,2.2292,0.1816,0.1085,0.0731,0.2547,7.2197,0.5912,1.8955,45.642,32.7829,7.0167,25.4385,0.1092,0.2185,2.6721,11.0839,1.2209,9.7907,0.0391,0.0332,0.8872,1.3803
453612785,2.2923,12.6033,87.3967,85.3299,20.0271,24.1043,14.1136,0.799,6.2967,9.9196,3.7383,0.7721,0.6091,0.1626,1.2619,4.9579,0.3252,0.8684,40.1084,27.9055,6.2947,21.1575,0.0878,0.3655,2.8771,8.8472,1.9957,6.7869,0.0277,0.0369,0.9453,2.4047
453612786,2.8628,18.9753,81.0247,77.5738,9.6611,26.0458,14.3435,0.6908,3.9467,11.8282,2.5508,0.3644,0.1053,0.2647,0.393,6.5728,0.9069,1.8357,40.7936,22.6131,4.8094,17.2362,0.1682,0.3993,1.6027,13.8128,4.9875,6.8731,0.8509,1.1013,6.7684,3.8856
453612787,2.6541,14.615,85.1427,82.5751,10.3783,31.5463,10.0708,0.3413,1.4641,21.4755,3.7407,0.6333,0.4602,0.1731,1.3069,14.8667,1.7905,1.0298,40.2804,26.8639,6.4555,20.0258,0.0781,0.3045,2.5119,10.543,1.2179,9.1574,0.0597,0.108,1.3656,1.9363
453612789,2.3615,25.9386,74.0614,71.3993,21.9234,20.3933,7.4668,0.7228,2.478,12.9265,3.6836,0.4122,0.1772,0.235,1.0931,6.9869,0.1971,2.1236,28.4414,17.8854,3.6826,13.8315,0.1035,0.2678,1.358,7.9745,0.9866,6.8953,0.0538,0.0388,1.0434,2.0588
453612798,3.4909,17.2422,82.7578,77.8857,9.38,51.3622,20.5737,0.5236,2.9825,30.7885,6.3444,0.3187,0.0304,0.2884,1.3357,6.1698,0.8348,17.485,11.0799,6.777,1.4343,5.1757,0.0911,0.0759,0.5768,3.5289,0.4022,3.028,0.0304,0.0683,0.8651,0.6299
453612802,2.6738,21.4782,78.443,75.5475,19.4092,27.414,5.7965,0.3702,2.4978,21.6175,3.0476,0.5608,0.2932,0.2694,0.9841,14.2449,0.8961,3.3335,27.9675,19.8398,5.5766,13.8509,0.066,0.3464,2.135,6.1484,1.336,4.7208,0.044,0.0476,0.9988,1.5596
453612810,2.8156,4.5045,95.4955,92.2648,13.1369,22.0164,12.6019,0.4736,3.3883,9.3314,1.7658,0.4079,0.1122,0.2933,0.4165,5.1451,0.5973,1.8011,56.7905,39.19,6.1529,32.3688,0.1766,0.4917,2.9091,13.0077,1.8946,9.0523,1.4452,0.6156,1.503,3.228
453612814,6.6427,7.3839,92.1972,84.5279,3.2362,66.6252,54.4078,0.7089,8.9859000000000009,11.9182,4.7876,0.29,0.1243,0.1657,0.7411,4.0556,0.6445,2.4398,14.4455,9.4738,2.3708,6.8545,0.0644,0.1841,0.8516,3.3375,0.4742,2.7989,0.0276,0.0368,1.0312,1.381
453612825,4.3969,13.5272,86.4728,80.9226,9.0421,43.6008,22.1608,0.4645,4.5891,21.1437,8.8179,0.5206,0.1442,0.3764,3.8523,10.6279,0.4565,1.1933,27.3827,18.5007,4.5331,13.367,0.2002,0.4004,1.4737,7.4003,0.6728,6.4712,0.1041,0.1522,1.6739,1.5217
453611462,3.4858,8.6172,91.3828,89.3698,5.3515,30.1939,10.1173,0.3708,1.2664,19.8906,3.9885,1.0503,0.8513,0.199,0.6682,13.2147,1.1316,1.5911,53.4025,29.4558,6.5445,22.5069,0.1188,0.2855,1.9897,22.1254,2.5174,19.4647,0.0699,0.0734,1.0969,1.9556
453611589,1.6898,19.5454,80.0871,78.1224,17.3665,31.5554,9.2689,0.3894,1.7944,22.2832,4.89,0.4786,0.2628,0.2158,0.4681,13.617,0.709,3.0915,28.5158,17.4955,4.4779,12.3986,0.1152,0.5038,1.2793,10.1889,1.8301,8.1527,0.0544,0.1517,1.3442,0.7439
453611598,2.6777,15.8238,83.5694,80.6973,14.1987,38.631100000000004,25.6401,0.483,2.6293,13.2942,3.5187,0.3097,0.1959,0.1138,0.2397,6.1354,0.3223,3.3394,27.3458,16.8904,3.7473,12.6345,0.0841,0.4245,1.2635,9.5413,1.2701,8.1312,0.07,0.07,0.6658,0.8012
453611601,2.3818,9.123,90.4568,88.9899,14.877,30.0034,10.1292,0.4798,6.7104,19.8703,3.6662,0.2959,0.1868,0.109,0.5101,11.755,1.7642,2.7517,43.7152,26.403,7.7017,17.8333,0.2805,0.5874,1.9063,14.3415,2.2406,11.7695,0.1888,0.1427,1.1936,1.4111
453612788,2.45,10.6044,89.3308,86.3756,15.897,34.0343,12.7321,0.7302,2.1125,21.5005,6.6654,0.5148,0.3051,0.2078,3.1706,13.1497,0.4995,1.2145,36.2135,21.2526,5.8856,14.4385,0.1754,0.7531,1.6358,13.5024,4.4786,8.1487,0.2669,0.6082,4.9552,1.3346
453612793,3.245,4.9412,94.0954,89.4768,5.8631,64.6324,28.3798,0.7421,2.3738,36.2526,6.1074,0.1936,0.0369,0.1567,0.6084,9.4676,0.9403,19.5805,17.0592,10.938,2.761,7.7714,0.0968,0.3088,1.0094,4.7292,0.6868,3.9272,0.0507,0.0645,0.779,1.0602
453612794,3.3379,3.8709,96.1291,92.3204,4.5303,53.8466,17.2597,0.4731,3.2803,36.2007,5.8932,0.2236,0.0915,0.1321,1.8236,14.6693,0.9519,14.6388,33.5844,21.1125,4.5902,16.0051,0.1468,0.3704,1.4838,9.4626,1.4984,7.6232,0.236,0.105,1.2545,2.648
