population,eta_squared,rank
B.cells,0.2164517873240539,1
Classical.monocytes,0.1980597383570112,2
CD4T.TCM,0.1362977342340226,3
CD8T.TEMRA,0.1219468715690194,4
NonTB,0.10533818201943947,5
Tregs,0.07275572502587774,6
CD8T.Naive,0.06028394970731675,7
NonNeutro_Eosino,0.056510796860094345,8
CD8T.TEM,0.05370436835600771,9
Nonclassical.monocytes,0.05269981724882229,10
Neu_Eosino,0.05210934461793404,11
Neutrophils,0.05155733959199952,12
NonNK,0.04829659859704546,13
mDCs,0.04755847534330431,14
NK,0.046661364507160075,15
CD8T.TCM,0.04255039649528016,16
CD4T,0.0317905843568451,17
CD14neg.CD16neg,0.027622931072241088,18
T.cells,0.024029179547987906,19
CD4T.TEM,0.0221702964771477,20
CD56dim.CD16pos.NK,0.020902669177129393,21
HLADRpos.T,0.015756002983849902,22
CD4T.Naive,0.012810780709269992,23
CD8T,0.011507757835227658,24
pDCs,0.009926977583393658,25
Eosinophils,0.009809879108588285,26
Intermediate.monocytes,0.006151391919448938,27
CD4T.TEMRA,0.005020456688172729,28
Basophils,0.002975365280414815,29
CD123pos,0.001783025770842681,30
TCRgd.cells,0.0011041015996494314,31
CD56bright.CD16neg.NK,7.806073642820942e-4,32
