population,max_abs_d_timepoint,cohens_d_change_from_baseline,rank,cohens_d_cross_sectional
NK,V5,-0.5307891957361855,1,0.05402828215361245
Classical.monocytes,V3,0.4556324601945927,2,0.11764666459845102
NonNK,V5,0.4443967618735844,3,0.30755745123805034
pDCs,V3,-0.4371849144334792,4,-0.3775455920253408
NonNeutro_Eosino,V3,0.41466803738132385,5,0.5497352206717904
Neutrophils,V3,-0.4139130068565585,6,-0.5629400157527165
Neu_Eosino,V3,-0.4111548960140003,7,-0.5503363827477493
Nonclassical.monocytes,V5,0.3901536454227058,8,0.3763277517260617
CD56bright.CD16neg.NK,V5,-0.3441064243165852,9,-0.09837162661213326
CD8T.TEMRA,V5,-0.33773111080869883,10,-0.26162598590803915
CD4T.TEM,V5,-0.32066876285957535,11,-0.04216577745895858
CD8T.TEM,V5,-0.3185827373801274,12,-0.24493421943531937
mDCs,V5,-0.2988122497075179,13,-0.05244003057843905
CD8T.TCM,V5,-0.28750157445543856,14,-0.2127736560265539
CD8T,V5,-0.2806672993592121,15,-0.16399128430144444
CD56dim.CD16pos.NK,V5,-0.25151712632486783,16,-0.1871635388835843
Intermediate.monocytes,V3,0.2501495770740524,17,-0.1963553809780084
B.cells,V5,0.23334313944037968,18,0.027698503813633504
CD4T.TEMRA,V3,0.2224915039971814,19,0.21026546311849864
Eosinophils,V5,-0.21774048221291892,20,-0.30452757130541674
CD123pos,V3,-0.2112580149032567,21,-0.3975712465041838
T.cells,V5,-0.191255355463168,22,-0.3632243049280429
TCRgd.cells,V5,-0.17384328424776208,23,-0.3720207320380712
CD14neg.CD16neg,V3,0.16131215369070867,24,0.22778163125753875
Basophils,V5,0.14964993000110594,25,0.022245577813955534
HLADRpos.T,V5,-0.1353556924020464,26,-0.14958236682957135
Tregs,V3,0.1043524742613726,27,-0.11351803331688269
CD4T,V5,-0.0966741756858904,28,-0.3865049200012598
CD8T.Naive,V5,-0.07924128353473864,29,0.012921620189627945
CD4T.Naive,V5,-0.07239409275347108,30,-0.36707059908882284
CD4T.TCM,V5,-0.06991598929649438,31,-0.25928566229738
NonTB,V3,0.06610076507813299,32,0.3565996934667596
