population,PC1,PC2
Eosinophils,-0.10160417798281123,-0.07377050322451285
Neutrophils,-0.08112215706168073,0.8191024018649481
NonNeutrophils,-0.06504119860853166,-0.059246408098769
B.cells,-0.02576546098042149,0.12119791286863427
NK,-0.09282844225664584,-0.075952041976714
CD56bright.CD16neg.NK,-0.0627743710913687,-0.02037310499901546
CD56dim.CD16pos.NK,-0.05764120722072183,0.014949885511828728
CD123pos,-0.1301264059212754,0.09001823023856197
Basophils,-0.14645995772143913,0.10732483672839913
pDCs,-0.11319448168079771,0.08343653459321594
mDCs,-0.13181838993135342,-0.15886613294982646
Classical.monocytes,-0.1275719581867233,-0.032677804642218346
Intermediate.monocytes,-0.07577613422293766,-0.11954850457440683
Nonclassical.monocytes,-0.09621444657540862,-0.4260846252695442
T.cells,-0.0322136313300588,-0.009002081062768529
CD4T,-0.09422839331057913,-0.0013327076313130951
CD4T.TCM,-0.09754757971503424,-0.06773685568523016
CD4T.Naive,-0.10270681758934568,0.03206480947924216
CD4T.TEMRA,0.06747362699834364,-0.12545307403309405
CD4T.TEM,0.07195148899756297,-0.11927780962632926
Tregs,-0.10903210230733573,-0.01252017971625167
CD8T,0.0718600375687396,-0.018951065030977005
CD8T.TCM,0.22648448442533212,-0.034640400328610974
CD8T.Naive,-0.04308680519096678,-0.017995204645802246
CD8T.TEMRA,0.5399336212329131,-0.02012330038876742
CD8T.TEM,0.6645354339079086,0.045191295428625496
HLADRpos.T,0.1392755716129463,0.09895436268454676
TCRgd.cells,0.005239854141690887,-0.018688465513850835
