population,PC1,PC2
Eosinophils,-0.10093712522499655,0.006363047989112878
Neutrophils,-0.08465939662851767,0.20140366235470672
B.cells,-0.040350482012229856,0.18778160781194175
NK,-0.08030592949557096,-0.2804798608656185
CD56bright.CD16neg.NK,-0.06738166155184044,-0.15762969992605488
CD56dim.CD16pos.NK,-0.05083304397878736,0.041795558580495405
CD123pos,-0.1323914871408564,-0.15903435112345032
Basophils,-0.14734728274100067,-0.1964202836771019
pDCs,-0.11075616506574419,-0.058559289588516604
mDCs,-0.1291824209070415,-0.08803332159236027
Classical.monocytes,-0.1088551716390089,-0.31063024866411637
Intermediate.monocytes,-0.02671228117027733,-0.5846392019552682
Nonclassical.monocytes,-0.0897591160174601,-0.08528150736448235
T.cells,-0.045591068033798886,0.2385842035574217
CD4T,-0.10503428277773885,0.22654749742242983
CD4T.TCM,-0.10411737464336018,0.122808605191814
CD4T.Naive,-0.11441553581446481,0.2319170706297822
CD4T.TEMRA,0.06843094698617448,0.06956687896421299
CD4T.TEM,0.06656660384062472,0.038443496625449165
Tregs,-0.11669362674224242,0.12151325046810516
CD8T,0.05857124035573748,0.19235358806466812
CD8T.TCM,0.21061080245251332,0.11448744350220763
CD8T.Naive,-0.053287468250992856,0.18591899720722616
CD8T.TEMRA,0.5517766494106815,-0.0536712264676677
CD8T.TEM,0.6686441886406777,-0.0561587396668499
HLADRpos.T,0.12311532440024464,-0.0378962290416564
TCRgd.cells,-0.03910483625072357,0.08894905156356786
