population,overall_variance,eta_squared_timepoint
CD8T.TEM,1.9760043182296452,0.14257670744964618
CD8T.TEMRA,1.4953970215752452,0.11459208325357578
Neutrophils,0.9738045578419415,0.06383823142711621
Nonclassical.monocytes,0.7074707783015706,0.006064648196960898
Basophils,0.4985712931433096,0.003505555409407964
mDCs,0.4672071394404634,0.1184329936524367
Intermediate.monocytes,0.45985458568578075,0.044151386366920245
CD56dim.CD16pos.NK,0.43853524452943354,0.017986898728601295
CD8T.TCM,0.4192308885752179,0.03438503663628937
HLADRpos.T,0.38349926729327555,0.0067428677174403715
CD4T.TEM,0.28130256570309164,0.031875521379892045
NK,0.2796982499764545,0.05568726705022818
pDCs,0.2457379235656181,0.005783401065553315
CD4T.TEMRA,0.24211232902279486,0.0015353080419273518
B.cells,0.22248679207359812,0.18523245478941305
Eosinophils,0.21210047069598204,0.024933234915057428
Classical.monocytes,0.20592664264044505,0.1527947134344857
CD123pos,0.2031513968333262,0.006919108195209444
CD4T.Naive,0.16443079666749535,0.02796825002467835
Tregs,0.15295273671041731,0.07799625718130526
TCRgd.cells,0.14755345672307701,0.006029363945122095
CD56bright.CD16neg.NK,0.1391472858987151,0.005159709932549876
CD8T.Naive,0.13829364399606348,0.08319790781416316
CD4T.TCM,0.12638350381845262,0.13732525784100744
CD4T,0.12420733519161833,0.046239589978243775
CD8T,0.11999098978162845,0.01826926058417068
T.cells,0.06624118305438731,0.05539344538009013
