population,n_synf,n_ctrlf,median_synf,median_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
CD4T.Naive,41,41,13.590060335570282,17.545794434223865,0.02946778701695241,-0.39025651005218537,-0.8273512919930941,0.046838271888723415,0.30576787152842966
CD4T,41,41,18.367998674653936,23.32474998141689,0.030909859262107927,-0.44804874577761117,-0.8864721412690411,-0.009625350286181222,0.30576787152842966
T.cells,41,41,29.958913291764176,36.44944816231332,0.033974207947603294,-0.4560568102384618,-0.894678411814716,-0.017435208662207546,0.30576787152842966
Neutrophils,41,41,24.17750733804022,19.31985360956174,0.09895895084733092,0.4444893014607508,0.0061529062146746805,0.8828256967068269,0.6679729182194837
Tregs,41,41,1.514508201076875,1.773098100882723,0.12827326907391762,-0.40495611931145126,-0.8423718355945223,0.03245959697161982,0.6926756529991552
TCRgd.cells,41,41,1.4585127664987827,1.7124017160757528,0.15668459590645664,-0.3751010248824567,-0.8118771089940264,0.06167505922911304,0.7050806815790549
Eosinophils,41,41,2.465259676400409,2.51454216377255,0.21867788646791578,-0.3069674308827075,-0.7424643428444357,0.12852948107902074,0.843471847804818
CD4T.TCM,41,41,4.12758003119398,4.242356102675869,0.3228522353484282,-0.3266461616968683,-0.7624866532613856,0.10919432986764915,0.976659841537096
CD56dim.CD16pos.NK,41,41,2.297599161995011,2.5125167318511323,0.34605879698534053,-0.2605930770011811,-0.6953638339311752,0.17417767992881295,0.976659841537096
CD8T,41,41,9.67434694641052,10.682506603525788,0.38531536163498215,-0.24108629394127196,-0.6755867491818424,0.1934141612992984,0.976659841537096
CD4T.TEMRA,41,41,0.14959663805359766,0.16159584642902572,0.4012994224501486,-0.33652498405624703,-0.7725458918110539,0.09949592369855986,0.976659841537096
CD4T.TEM,41,41,0.41713023280753114,0.3845239114384763,0.45813271046599485,-0.26273514072772824,-0.6975368499572556,0.1720665685017992,0.976659841537096
Basophils,41,41,0.1791953145689006,0.19272133246008377,0.4771990070299759,-0.2724240399503896,-0.70736888781138485,0.1625208079106057,0.976659841537096
CD8T.TCM,41,41,1.485299101398551,1.8591948067988433,0.5609728094113208,-0.20071663231230574,-0.6347240248974637,0.23329076027285217,0.976659841537096
Classical.monocytes,41,41,7.493912625745953,7.386193078776258,0.6183019731515813,0.09736565569214539,-0.3357887491725971,0.5305200605568878,0.976659841537096
pDCs,41,41,0.045668990093017,0.04292375538166303,0.6197493430025978,0.1941157299602285,-0.23981956563027487,0.6280510255507319,0.976659841537096
CD123pos,41,41,0.3520549070813823,0.33524276864893554,0.6512063796148355,-0.13343158272103456,-0.5668166259395457,0.29995346049747657,0.976659841537096
CD8T.Naive,41,41,6.664515801824185,6.81841262276468,0.6915923099423628,-0.07757623235892556,-0.5106346762851305,0.3554822115672793,0.976659841537096
Nonclassical.monocytes,41,41,2.050545251716728,1.9058923695653751,0.6984123660728777,0.23418844612696477,-0.2002214200969588,0.6685983123508883,0.976659841537096
NK,41,41,10.55802797570433,10.114450372424082,0.7678587197017994,0.00760123867672536,-0.4252919458629644,0.44049442321641513,0.976659841537096
Intermediate.monocytes,41,41,0.5787654714717382,0.4401468289341935,0.8176312985484684,-0.23208671115330246,-0.6664694944096021,0.2022960721029972,0.976659841537096
CD56bright.CD16neg.NK,41,41,0.5366692638025677,0.5044002630873983,0.8464168650825652,0.019920013992738104,-0.4129825723777621,0.45282260036323835,0.976659841537096
HLADRpos.T,41,41,0.8799680829056543,0.8452463762474886,0.8464168650825652,-0.09174619877544134,-0.5248711494358982,0.34137875188501554,0.976659841537096
mDCs,41,41,0.5359059744515053,0.5887438964360586,0.8681420813663075,0.03807006528897267,-0.39486170804422216,0.4710018386221675,0.976659841537096
CD8T.TEMRA,41,41,0.1288246390111493,0.10979449224687636,0.9630150927032557,-0.24063788259285848,-0.675132369542987,0.19385660435727012,0.9999999999999993
CD8T.TEM,41,41,0.1772654309515568,0.14883514615031787,0.9926413687507629,-0.18917530673759383,-0.6230582113840993,0.2447075979089117,0.9999999999999993
B.cells,41,41,14.040863870061417,14.315088099905742,0.9999999999999993,-0.02909088890799635,-0.4620059396161424,0.40382416180014974,0.9999999999999993
