population,n_synf,n_ctrlf,p_value,p_fdr
B.cells,41,42,0.42746994267325694,0.6924518948671727
Basophils,41,42,0.08772381780318315,0.3937686375478195
CD123pos,41,42,0.07338268628220733,0.3937686375478195
CD14neg.CD16neg,41,42,0.6867833919433709,0.7925309927570928
CD4T,41,42,0.1042168258844024,0.3937686375478195
CD4T.Naive,41,42,0.08109580856389907,0.3937686375478195
CD4T.TCM,41,42,0.18307024030016034,0.4881873074670942
CD4T.TEM,41,42,0.6022812148117992,0.770919954959103
CD4T.TEMRA,41,42,0.5710617233118633,0.770919954959103
CD56bright.CD16neg.NK,41,42,0.3667069748735292,0.6519235108862741
CD56dim.CD16pos.NK,41,42,0.21499339936765766,0.5292145215203881
CD8T,41,42,0.26606613494889586,0.5723230527023319
CD8T.Naive,41,42,0.28616152635116593,0.5723230527023319
CD8T.TCM,41,42,0.43278243429198293,0.6924518948671727
CD8T.TEM,41,42,0.5897021890780707,0.770919954959103
CD8T.TEMRA,41,42,0.8740377851351513,0.9022325523975755
Classical.monocytes,41,42,0.6934646186624562,0.7925309927570928
Eosinophils,41,42,0.1547668990615249,0.45023097908807247
HLADRpos.T,41,42,0.027297329283159148,0.3937686375478195
Intermediate.monocytes,41,42,0.5527034155695448,0.770919954959103
NK,41,42,0.027297329283159148,0.3937686375478195
Neu_Eosino,41,42,0.11437995850028425,0.3937686375478195
Neutrophils,41,42,0.11228792791413918,0.3937686375478195
NonNK,41,42,1,1
NonNeutro_Eosino,41,42,0.12305269923369358,0.3937686375478195
NonTB,41,42,0.04720448288317191,0.3937686375478195
Nonclassical.monocytes,41,42,0.5346362924293818,0.770919954959103
T.cells,41,42,0.6472181322858683,0.7925309927570928
TCRgd.cells,41,42,0.35712440504483134,0.6519235108862741
Tregs,41,42,0.2820634445487255,0.5723230527023319
mDCs,41,42,0.8173029480767646,0.8717898112818823
pDCs,41,42,0.7684148340099727,0.8479060237351422
