population,follow_up_timepoint,n_synf,n_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
Neu_Eosino,V3,41,41,0.043752075020464125,-0.38000486839242853,-0.8168827172109127,0.0568729804260556,0.4773028822013899
Neu_Eosino,V5,41,40,0.27688782696638026,0.21618423740278309,-0.22070692455886187,0.653075399364428,0.6424834269313648
Eosinophils,V3,41,41,0.25549451608843887,-0.11557220433989406,-0.5488340442779934,0.3176896355982053,0.8886591575342083
Eosinophils,V5,41,40,0.32541730944435837,-0.19872676747437532,-0.6354163304843914,0.2379627955356408,0.6850849622001584
Neutrophils,V3,41,41,0.03165307140773843,-0.3828743365236475,-0.8198123344826684,0.054063661435373445,0.4773028822013899
Neutrophils,V5,41,40,0.22252868700808812,0.23975096116086878,-0.19743908682215935,0.6769410091438969,0.6424834269313648
NonNeutro_Eosino,V3,41,41,0.044747145206380304,0.38351773854342575,-0.053433807223878305,0.8204692843107297,0.4773028822013899
NonNeutro_Eosino,V5,41,40,0.25258522386511595,-0.2255470840149707,-0.6625533156061095,0.21145914757616813,0.6424834269313648
B.cells,V3,41,41,0.2795237534557595,0.24187479224305078,-0.19263618454385803,0.6763857690299596,0.8886591575342083
B.cells,V5,41,40,0.18546875614263855,0.2811627201472479,-0.15662676905235778,0.7189522093468537,0.6424834269313648
NonTB,V3,41,41,0.8536466233868488,-0.06173689110592722,-0.4947341598213534,0.3712603776094989,0.8886591575342083
NonTB,V5,41,40,0.6965811743973254,-0.21389833442340644,-0.6507621389714606,0.22296547012464768,0.8120401279993513
NK,V3,41,41,0.5424451349114037,-0.25922917531238465,-0.6939803550886656,0.17552200446389638,0.8886591575342083
NK,V5,41,40,0.015646613233765795,-0.5516484388439881,-0.9956492013308595,-0.10764767635711664,0.5006916234805054
CD56bright.CD16neg.NK,V3,41,41,0.8536466233868488,-0.0017323976008884426,-0.43462406304394857,0.4311592678421717,0.8886591575342083
CD56bright.CD16neg.NK,V5,41,40,0.1792464366583383,-0.3122700274227923,-0.7505718346255681,0.12603177977998353,0.6424834269313648
CD56dim.CD16pos.NK,V3,41,41,0.5861377113741169,-0.14450793155470498,-0.5779782440230625,0.2889623809136526,0.8886591575342083
CD56dim.CD16pos.NK,V5,41,40,0.07180762584919677,-0.4113020837065077,-0.8515869153980473,0.02898274798503192,0.6424834269313648
NonNK,V3,41,41,0.12876657237680073,0.30824004845313047,-0.12727844521824455,0.7437585421245054,0.8241060632115247
NonNK,V5,41,40,0.18546875614263855,0.39079170757547294,-0.04903864459184987,0.8306220597427958,0.6424834269313648
CD14neg.CD16neg,V3,41,41,0.7259292783933315,0.18802679719153292,-0.2458441206251314,0.6218977150081972,0.8886591575342083
CD14neg.CD16neg,V5,41,40,0.13489137977052437,-0.13140560439061333,-0.567476011580605,0.30466480279937835,0.6424834269313648
CD123pos,V3,41,41,0.5424451349114037,-0.18691093516624996,-0.6207702764885612,0.24694840615606123,0.8886591575342083
CD123pos,V5,41,40,0.3639513861688341,0.16578900976589683,-0.27056618200905375,0.6021442015408474,0.6850849622001584
Basophils,V3,41,41,0.9045626527665476,-0.05751411886707367,-0.49049742570789817,0.3754691879737508,0.9045626527665476
Basophils,V5,41,40,0.28108649928247215,0.1538868511382553,-0.28236232418828405,0.5901360264647946,0.6424834269313648
pDCs,V3,41,41,0.19096544386038836,-0.39834516479351256,-0.835615106165507,0.03892477657848198,0.8886591575342083
pDCs,V5,41,40,0.9736243592405567,0.08346652932756785,-0.35231661382352353,0.5192496724786593,0.9736243592405567
mDCs,V3,41,41,0.6053445657409853,-0.014292914552681764,-0.44719016205126244,0.4186043329458989,0.8886591575342083
mDCs,V5,41,40,0.6019475806228851,-0.25642395435004806,-0.6938439817438236,0.18099607304372745,0.7982311004659197
Classical.monocytes,V3,41,41,0.11098803598224154,0.40124627772145366,-0.036087345209851573,0.8385799006527589,0.8241060632115247
Classical.monocytes,V5,41,40,0.19184755224380473,0.3636138124073167,-0.07564946463181965,0.8028770894464531,0.6424834269313648
Intermediate.monocytes,V3,41,41,0.43800203933913184,0.12753604730855403,-0.30580637531628807,0.5608784699333962,0.8886591575342083
Intermediate.monocytes,V5,41,40,0.8768217943317264,0.0062891441623453,-0.4293007118632235,0.44187900018791404,0.9352765806205081
Nonclassical.monocytes,V3,41,41,0.2329246159174975,-0.09312153498094798,-0.5262535328223396,0.3400104628604436,0.8886591575342083
