population,timepoint,n_synf,n_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
Eosinophils,V1,43,41,0.04271817396108117,0.4241363139156643,-0.008588711012107175,0.8568613388434358,0.5980544354551364
Eosinophils,V3,40,42,0.3204450336574497,0.17069450170993994,-0.26313292566496904,0.6045219290848489,0.6874438461966669
Eosinophils,V5,41,41,0.21867788646791578,-0.3069674308827075,-0.7424643428444357,0.12852948107902074,0.7653726026377052
Neutrophils,V1,43,41,0.9361546025248264,0.05917809501841312,-0.3687461145950085,0.4871023046318348,0.9361546025248264
Neutrophils,V3,40,42,0.11405840874185175,-0.28271564537283533,-0.7179463212395003,0.15251503049382958,0.6668970236780296
Neutrophils,V5,41,41,0.09895895084733092,0.4444893014607508,0.0061529062146746805,0.8828256967068269,0.5986085890116156
NonNeutrophils,V1,43,41,0.9149427402516938,0.05854516012330225,-0.3693770101306735,0.48646733037727796,0.9361546025248264
NonNeutrophils,V3,40,42,0.03274305283309251,0.464415296254217,0.025456094163842757,0.9033744983445913,0.6668970236780296
NonNeutrophils,V5,41,41,0.11741597842987728,-0.2904550953585592,-0.7256799860655565,0.1447697953484381,0.5986085890116156
B.cells,V1,43,41,0.12419939666604261,-0.36072140665371494,-0.7920972010065566,0.07065438769912674,0.6439558397123144
B.cells,V3,40,42,0.5210953780379135,-0.03414613879519012,-0.46719886230276203,0.3989065847123818,0.7028238995351167
B.cells,V5,41,41,0.9999999999999993,-0.02909088890799635,-0.4620059396161424,0.40382416180014974,0.9999999999999993
NK,V1,43,41,0.01592806884855386,0.4934884614895922,0.059044382466261314,0.9279325405129231,0.44598592775950807
NK,V3,40,42,0.0998185719708333,0.36291794644857833,-0.07373868091614183,0.7995745738132984,0.6668970236780296
NK,V5,41,41,0.7678587197017994,0.00760123867672536,-0.4252919458629644,0.44049442321641513,0.9723191311302646
CD56bright.CD16neg.NK,V1,43,41,0.9008337872927444,0.051917979562847806,-0.375984153821816,0.47982011294751165,0.9361546025248264
CD56bright.CD16neg.NK,V3,40,42,0.19562504671648875,0.2220811957980985,-0.21230439471785387,0.6564667863140509,0.6668970236780296
CD56bright.CD16neg.NK,V5,41,41,0.8464168650825652,0.019920013992738104,-0.4129825723777621,0.45282260036323835,0.9723191311302646
CD56dim.CD16pos.NK,V1,43,41,0.21809942276110877,0.14692353483997886,-0.28149535718865903,0.5753424268686167,0.6638614612400952
CD56dim.CD16pos.NK,V3,40,42,0.3877150570753363,0.13292913862384587,-0.3005808694609875,0.5664391467086792,0.6874438461966669
CD56dim.CD16pos.NK,V5,41,41,0.34605879698534053,-0.2605930770011811,-0.6953638339311752,0.17417767992881295,0.9363653190503468
CD123pos,V1,43,41,0.4174311959579412,-0.10818210547424752,-0.5363307246676751,0.31996651371918006,0.6960130957698993
CD123pos,V3,40,42,0.23461134176391835,-0.22963617776038237,-0.6641160743881569,0.2048437188673921,0.6668970236780296
CD123pos,V5,41,41,0.6512063796148355,-0.13343158272103456,-0.5668166259395457,0.29995346049747657,0.9723191311302646
Basophils,V1,43,41,0.44886616978083654,-0.1070653735211565,-0.5352074171340261,0.32107667009171303,0.6982362641035236
Basophils,V3,40,42,0.7713200835785734,0.026078455571634143,-0.40696079845483996,0.4591177095981082,0.8638784936080023
Basophils,V5,41,41,0.4771990070299759,-0.2724240399503896,-0.70736888781138485,0.1625208079106057,0.9543980140599518
pDCs,V1,43,41,0.6970094053808145,0.05950048254967601,-0.3684247742440841,0.4874257393434361,0.8485331891592525
pDCs,V3,40,42,0.285813010147727,-0.18302910739065992,-0.6169772533284683,0.25091903854714853,0.6668970236780296
pDCs,V5,41,41,0.6197493430025978,0.1941157299602285,-0.23981956563027487,0.6280510255507319,0.9723191311302646
mDCs,V1,43,41,0.49277373398981816,0.3089428896984343,-0.12149044241733375,0.7393762218142024,0.7028542973280163
mDCs,V3,40,42,0.6678277419020192,0.17025065124036579,-0.26357258850302967,0.6040738909837613,0.7791323655523558
mDCs,V5,41,41,0.8681420813663075,0.03807006528897267,-0.39486170804422216,0.4710018386221675,0.9723191311302646
Classical.monocytes,V1,43,41,0.5155521472364053,-0.32532046907257367,-0.756036360234879,0.10539542208973163,0.7028542973280163
Classical.monocytes,V3,40,42,0.5639753848455666,0.047559387809233834,-0.38552371596470847,0.4806424915831762,0.7177868534398121
Classical.monocytes,V5,41,41,0.6183019731515813,0.09736565569214539,-0.3357887491725971,0.5305200605568878,0.9723191311302646
Intermediate.monocytes,V1,43,41,0.25349001047333825,-0.37325245990508005,-0.8048779005097523,0.05837298069959218,0.6638614612400952
Intermediate.monocytes,V3,40,42,0.8644745623089005,-0.1265838763761276,-0.5600482813364958,0.3068805285842405,0.9309726055634313
Intermediate.monocytes,V5,41,41,0.8176312985484684,-0.23208671115330246,-0.6664694944096021,0.2022960721029972,0.9723191311302646
Nonclassical.monocytes,V1,43,41,0.7351506820474988,-0.07014937435375194,-0.49811241686400054,0.3578136681564966,0.857675795722082
Nonclassical.monocytes,V3,40,42,0.46285462783662457,0.192833736418489,-0.24121634699676903,0.626883819833747,0.7028238995351167
Nonclassical.monocytes,V5,41,41,0.6984123660728777,0.23418844612696477,-0.2002214200969588,0.6685983123508883,0.9723191311302646
T.cells,V1,43,41,0.4174311959579412,-0.1801861530212333,-0.6089023956602573,0.24853008961779066,0.6960130957698993
T.cells,V3,40,42,0.9448368459743919,-0.06602969569489815,-0.4991709525188115,0.3671115611290152,0.9448368459743919
T.cells,V5,41,41,0.033974207947603294,-0.4560568102384618,-0.894678411814716,-0.017435208662207546,0.3170926075109641
CD4T,V1,43,41,0.12200807163421246,-0.35532703517420633,-0.7865979432711707,0.075943872922758,0.6439558397123144
CD4T,V3,40,42,0.2420130063595591,-0.25863925130499077,-0.6935102642558018,0.17623176164582022,0.6668970236780296
CD4T,V5,41,41,0.030909859262107927,-0.44804874577761117,-0.8864721412690411,-0.009625350286181222,0.3170926075109641
CD4T.TCM,V1,43,41,0.3179774125208588,-0.2038782574186266,-0.6328430136849658,0.22508649884771256,0.6848744269680036
CD4T.TCM,V3,40,42,0.3928250549695239,-0.15485203331832786,-0.5885367184428277,0.278832651806172,0.6874438461966669
CD4T.TCM,V5,41,41,0.3228522353484282,-0.3266461616968683,-0.7624866532613856,0.10919432986764915,0.9363653190503468
CD4T.Naive,V1,43,41,0.07940157421947393,-0.3574437925544649,-0.7887556727780107,0.07386808766908087,0.6439558397123144
CD4T.Naive,V3,40,42,0.26122296517149723,-0.2664798799594584,-0.701464538787891,0.1685047788689742,0.6668970236780296
CD4T.Naive,V5,41,41,0.02946778701695241,-0.39025651005218537,-0.8273512919930941,0.046838271888723415,0.3170926075109641
