population,lrt_chisq,lrt_df,p_value,p_fdr
Eosinophils,5.468989434664991,2,0.06492680520634231,0.3580467122161665
Neutrophils,11.635859044981316,2,0.002973755869761407,0.09516018783236502
NonNeutrophils,9.995076154485105,2,0.006754555740471301,0.10807289184754082
NonEosinophils,8.769367207384676,2,0.01246683196999579,0.1329795410132884
B.cells,1.210114412763005,2,0.5460431885912467,0.7597122623878214
NonTB,1.469657559609459,2,0.4795875670222904,0.6981764260639035
NK,5.256665193072877,2,0.0721987463695712,0.3580467122161665
CD56bright.CD16neg.NK,0.34209406799556064,2,0.8427819331358332,0.8989673953448887
CD56dim.CD16pos.NK,3.5818650639658927,2,0.16680454654199642,0.4852495899403532
NonNK,4.508859355591312,2,0.10493337250614419,0.3580467122161665
CD14neg.CD16neg,2.463732640993385,2,0.29174757478533386,0.5834951495706677
CD123pos,0.45661788010121995,2,0.7958783431550401,0.8782105855503891
Basophils,0.6219283101456483,2,0.7327401404155763,0.8554192020472049
pDCs,2.853058701115515,2,0.2401409225768611,0.512300634830637
mDCs,2.882947890084722,2,0.23657879742484902,0.512300634830637
Classical.monocytes,4.38048525969657,2,0.11188959756755203,0.3580467122161665
Intermediate.monocytes,0.7912257801858118,2,0.6732672739298317,0.8316580634401196
Nonclassical.monocytes,3.147128222180072,2,0.20730500603420485,0.5102892456226581
T.cells,2.2015742787828003,2,0.3326091708503257,0.5913051926228012
CD4T,0.5793900560661314,2,0.7484918017913044,0.8554192020472049
CD4T.TCM,0.06306253467789702,2,0.9689606591587265,0.9689606591587265
CD4T.Naive,0.27462708496500454,2,0.8716968692794724,0.8998161231271973
CD4T.TEMRA,4.865653864270063,2,0.08778830987519935,0.3580467122161665
CD4T.TEM,5.828790959460889,2,0.054236808374710045,0.3580467122161665
Tregs,0.7839465377147121,2,0.6757221765450971,0.8316580634401196
CD8T,3.1815052170834406,2,0.20377219331619426,0.5102892456226581
CD8T.TCM,1.467953796391157,2,0.47999629291893364,0.6981764260639035
CD8T.Naive,1.0705770041370215,2,0.585500347714416,0.7806671302858879
CD8T.TEMRA,4.552821754872127,2,0.1026519768610633,0.3580467122161665
CD8T.TEM,2.310101403092176,2,0.31504156340412964,0.5913051926228012
HLADRpos.T,1.825983798204561,2,0.4013217119635148,0.6759102517280249
TCRgd.cells,1.4942497859871082,2,0.4737266113465432,0.6981764260639035
