protein,eta_squared,p_value,p_fdr
HSD11B1,0.7845889047878885,2.114659912452476e-83,7.570482486579864e-81
COLEC12,0.6425017293614519,4.036167820778511e-56,7.224740399193534e-54
CD22,0.6315430080355766,1.7059389288135375e-54,2.0357537883841547e-52
CKAP4,0.6202132339270424,7.293543794402128e-53,6.527721695989905e-51
SMOC2,0.5949777868211774,2.1250857822197987e-49,1.5215614200693756e-47
AGRN,0.5890819023436509,1.275420347927578e-48,7.610008075967881e-47
LTBR,0.5846593683794155,4.810031908695834e-48,2.459987747590155e-46
CNTNAP2,0.5293118577225127,2.6237589783929984e-41,1.1741321428308668e-39
FLT3LG,0.5146831317456995,1.1672070932693805e-39,4.642890437671536e-38
LAMA4,0.5103264816249692,3.535254013888232e-39,1.265620936971987e-37
ARNT,0.5054550575513543,1.2064653106025237e-38,3.926496192688213e-37
ITGB6,0.46567338853986884,1.7702871698036103e-34,5.2813567232474374e-33
TNFRSF11A,0.4532848818704106,3.036507433834172e-33,8.36207431778949e-32
FABP1,0.4403852924694987,5.473320335761807e-32,1.399606200144805e-30
FCRL2,0.4334905653557066,2.4985395456352672e-31,5.963181048916171e-30
PGF,0.43156144906068106,3.808526096553208e-31,8.521577141037803e-30
NPPC,0.4124620138134478,2.2932840200063118e-29,4.829386348013292e-28
MATN2,0.39492568755687235,8.795910087056305e-28,1.7494087839811984e-26
HLA.E,0.3911700164686119,1.8945584535102723e-27,3.569746980824618e-26
SPON1,0.3808256426880115,1.5304082291778625e-26,2.7394307302283735e-25
FSTL3,0.37970941524282187,1.9133898074725375e-26,3.261874052738897e-25
CLEC4C,0.34961117883767445,6.814914873404942e-24,1.1089725112177133e-22
REG4,0.3429507819473271,2.4106821113065166e-23,3.7522791123814474e-22
LY9,0.34253933379333557,2.6052665212750488e-23,3.886189227568614e-22
AGRP,0.3382894499901358,5.792143360616701e-23,8.294349292403117e-22
B4GALT1,0.32485872189706794,6.997421439399594e-22,9.634911058865596e-21
CD276,0.3235895228186322,8.832434297980603e-22,1.1711153624729837e-20
IL17D,0.32216692214438425,1.1460987355666154e-21,1.4215631537911707e-20
LY6D,0.3221410041326465,1.1515455715068143e-21,1.4215631537911707e-20
TFF2,0.3125057938404768,6.627676031513096e-21,7.909026730938962e-20
GAL,0.30950447605377074,1.13749000729484e-20,1.3136174922953314e-19
CLEC4G,0.30217506325518534,4.2127348522318927e-20,4.71299711593443e-19
LRRN1,0.2801011955464464,2.002903790044721e-18,2.1728471419273032e-17
SMPDL3A,0.27113455010507553,9.295508246551538e-18,9.787623389016032e-17
RGS8,0.26987996914010587,1.1505054278898015e-17,1.176802694812997e-16
ERBB3,0.2679742726575079,1.589522768260536e-17,1.580692086214644e-16
ICAM4,0.25941287266810953,6.72115198172098e-17,6.503168674205704e-16
EPO,0.25622705334301543,1.1444763705208685e-16,1.078217212227555e-15
SLAMF7,0.24619568222385677,6.026552900477756e-16,5.532066508643683e-15
EIF5A,0.2439079559265846,8.775237174923232e-16,7.853837271556293e-15
SIT1,0.2436339718809239,9.17845940276762e-16,8.014362112660508e-15
CD6,0.24279592691988527,1.0529426934371472e-15,8.975082958345207e-15
PLAUR,0.24254891796065467,1.0964004386640232e-15,9.128171093993496e-15
SLC39A5,0.2421352638556463,1.173196470631276e-15,9.545553101954472e-15
BSG,0.2379562606132371,2.3201044297322057e-15,1.8457719685425105e-14
VEGFD,0.233923392801416,4.464295388683455e-15,3.4743864111927754e-14
IL4R,0.23339770300669438,4.860650671315756e-15,3.70236795815115e-14
IL17F,0.2319002797207059,6.191320156007911e-15,4.6176929496892335e-14
CDSN,0.22873902194704865,1.030311364030557e-14,7.494489078741601e-14
TNFRSF13B,0.2286407612178571,1.0467163517795533e-14,7.494489078741601e-14
ENPP5,0.22457504799843572,2.0087769093725795e-14,1.4100826148144774e-13
CD48,0.22215510298471242,2.9561934897182496e-14,2.0352255179214105e-13
EPHA1,0.22202675899564267,3.0172949045349984e-14,2.0380973128745839e-13
CXADR,0.22151807405464452,3.2720370603818946e-14,2.1692393844754041e-13
ENPP7,0.2117791624918167,1.5287661450100762e-13,9.950877816611042e-13
C1QA,0.21010293652853945,1.9894906945396089e-13,1.2718529797235357e-12
TPP1,0.20695123883056568,3.2597664796810037e-13,2.0473621047821043e-12
TNFRSF14,0.20546183973339335,4.113678007201916e-13,2.5391322872039412e-12
NCLN,0.20139293517589793,7.75015398131987e-13,4.70263580561443e-12
ARTN,0.20114614699828937,8.052846886576313e-13,4.804865308990534e-12
FCRL6,0.20054713753113007,8.83720380496136e-13,5.148255141585298e-12
NRTN,0.20048992414535236,8.915972591572304e-13,5.148255141585298e-12
MVK,0.1995430614583929,1.0325443591722496e-12,5.867474294978816e-12
JCHAIN,0.1991788858608681,1.092455782311387e-12,6.110924532304321e-12
ROBO1,0.19517052308878718,2.028992225250103e-12,1.1175064871377489e-11
IL17C,0.1911254967099344,3.778001460345822e-12,2.049279580005764e-11
PTH1R,0.19017430944517436,4.370712119699176e-12,2.3353954311228434e-11
ANGPTL4,0.1852046521199558,9.332952330161663e-12,4.9135249032321696e-11
IL10RB,0.18357076237269182,1.1964652460184762e-11,6.207747218472673e-11
PRSS8,0.18203104751546922,1.5113519920903374e-11,7.729485902404868e-11
F2R,0.18191200914524075,1.5388708258665806e-11,7.759376840285013e-11
PADI2,0.17730310618930348,3.0884625519104446e-11,1.5356522133110266e-10
NFATC3,0.1771636718526446,3.154051140952924e-11,1.5467812444673247e-10
TNFRSF13C,0.17657397815479586,3.4470599767554456e-11,1.6676317184843913e-10
MZB1,0.17566757203753283,3.9508969016524116e-11,1.8858947877220845e-10
ADAM23,0.17331412241410574,5.626318352600086e-11,2.6502920660931983e-10
FABP9,0.17196253355906996,6.889671197956552e-11,3.2032497258031764e-10
MEGF10,0.16373237252423944,2.348634152518155e-10,1.077962854617307e-9
AMN,0.1601681447887061,3.979702492240292e-10,1.80346011673674e-9
CRELD2,0.1588963827946335,4.801070515790676e-10,2.1484790558163276e-9
BTN2A1,0.15758981145359713,5.820063703409224e-10,2.5723244516302496e-9
LIFR,0.1555196139692713,7.890532557608724e-10,3.444891043443809e-9
SLAMF1,0.15487396967317196,8.674876943407463e-10,3.741693910529966e-9
NELL2,0.1535995507004549,1.045706406060675e-9,4.456701111544305e-9
IL2RB,0.1514504422875509,1.432102877293061e-9,6.03168035377548e-9
ITGA11,0.1448292573721201,3.754494263382819e-9,1.562917379408197e-8
IFNLR1,0.14354740261314253,4.5207763182712206e-9,1.8602734734955138e-8
CXCL12,0.14306293439528167,4.849166274758067e-9,1.9727290072311228e-8
MERTK,0.1429609714279855,4.921237854492546e-9,1.979554103267788e-8
FST,0.1418386388315438,5.78829427171989e-9,2.3024548325285786e-8
FCRL3,0.14011918548993849,7.418978908831901e-9,2.9186752190789234e-8
CXCL8,0.1314942618151917,2.5574893143754972e-8,9.951969288548131e-8
CD200,0.1307924761589,2.826904496395427e-8,1.08820624699953e-7
KLRD1,0.1274238229798323,4.5668381171998346e-8,1.7392851552739795e-7
IL17RB,0.12727405139276032,4.66507071201995e-8,1.757995068319097e-7
IL20RA,0.12493088710274565,6.505070544694079e-8,2.400988605463177e-7
IL15,0.1249304516852905,6.505471919830396e-8,2.400988605463177e-7
TNFRSF4,0.12215829078668124,9.629644669850403e-8,3.517768154904535e-7
CLSTN2,0.12192084258788244,9.958063885821306e-8,3.60099683951922e-7
CRLF1,0.12159878466618107,1.0421328122945931e-7,3.730835468014644e-7
TNFSF12,0.11830519799509089,1.6575505195953667e-7,5.875278079357834e-7
LAMP3,0.11788485124505446,1.758469202377064e-7,6.171882102460675e-7
AGER,0.11690965835012809,2.0166787855384508e-7,7.009427235172479e-7
IL1R2,0.11239931670031621,3.7930263401903065e-7,1.3056763747962786e-6
CXCL9,0.11222962410130859,3.884011126014486e-7,1.324262841060177e-6
CXCL17,0.11010053713268032,5.22729650233371e-7,1.7654454224862906e-6
PON3,0.10968283489707652,5.540495064356436e-7,1.8537357318127142e-6
EPCAM,0.10760295633185872,7.39958285770542e-7,2.452824688017167e-6
KYNU,0.10664372941716561,8.453986990041682e-7,2.7766305893898365e-6
KRT19,0.10428984750310145,1.171573666887855e-6,3.8129397522350188e-6
FGF19,0.1029051339088534,1.4189204260413656e-6,4.576337950655936e-6
CD58,0.10247355384829504,1.5061198032760957e-6,4.814204371186092e-6
IL5,0.10076097758378659,1.9077346018548706e-6,6.043973340389767e-6
SPINK4,0.09906562249029456,2.4096374309291407e-6,7.567107019935372e-6
CCL24,0.09888817720558073,2.4692057723151244e-6,7.686744925989692e-6
FIS1,0.09859641841926754,2.570340372581758e-6,7.93260218434715e-6
SCGB3A2,0.09702611014606272,3.189509329091526e-6,9.759353331750139e-6
SCGN,0.09682188776548624,3.2802136451434355e-6,9.951834618316525e-6
CXCL14,0.09666523854993521,3.351518498304335e-6,1.008271951590716e-5
IL10RA,0.09427850424181392,4.648787697017146e-6,1.3868883296101152e-5
CD4,0.09223024736242819,6.151595327361687e-6,1.820058782806185e-5
TNFRSF11B,0.08648569353199444,1.3449427418516016e-5,3.946635258876011e-5
CKMT1A_CKMT1B,0.08578813675904431,1.4784604870986566e-5,4.303161417734302e-5
COL9A1,0.08515234412094916,1.6115681390583494e-5,4.652753175668461e-5
CCL22,0.0848362720395483,1.682097035575153e-5,4.8175259098872374e-5
CTRC,0.08389295855179725,1.911311338692212e-5,5.4305512639032694e-5
LGALS4,0.07959259430770434,3.416118632800619e-5,9.629688744430092e-5
CSF1,0.07916767190409493,3.6173387110578714e-5,1.0117244207489984e-4
MAPK9,0.07888550771240636,3.757407491907794e-5,1.0427533969790624e-4
CD244,0.07845864530739466,3.979594494177664e-5,1.0939195513683902e-4
IL18R1,0.07841526743420466,4.002889978470925e-5,1.0939195513683902e-4
IL22RA1,0.07617225156547233,5.4110847923215333e-5,1.4675517845841733e-4
TNF,0.07599138582483679,5.544041593054982e-5,1.4923059325666795e-4
SULT2A1,0.07415194406250783,7.094554916889157e-5,1.895410940482327e-4
PTX3,0.07371306424198887,7.523965893050924e-5,1.9952442886757266e-4
MLN,0.07346323996163168,7.779812966201575e-5,2.0479213543383556e-4
IL12RB1,0.07207804496327531,9.363104157959679e-5,2.4467089697442085e-4
OSCAR,0.07162396104712376,9.948702526534337e-5,2.580895293115429e-4
CDON,0.07098457971780099,1.0835336787700075e-4,2.790683863306926e-4
ITM2A,0.07057196155922196,1.1448681284449384e-4,2.927591357023485e-4
IL1A,0.0693493677999364,1.347559379068575e-4,3.4214628206138286e-4
IL7,0.06876125560642797,1.4573656812714964e-4,3.674203618980252e-4
LY75,0.06806804346534999,1.5982375254024986e-4,4.001182056602059e-4
IL11,0.06637784583330486,2.000886400099975e-4,4.974425911359661e-4
SCG3,0.06582777458433162,2.1524937531949324e-4,5.314432852715765e-4
ESM1,0.06433823092758614,2.6226582241238746e-4,6.430901672851692e-4
FGF5,0.06417130428206277,2.681318436365935e-4,6.511596328133123e-4
GALNT3,0.06414145315130149,2.6919448507365984e-4,6.511596328133123e-4
LAIR1,0.06383070181652976,2.805077660730985e-4,6.739716795581829e-4
PREB,0.062390011498870086,3.394344655138665e-4,8.101169243597614e-4
NCR1,0.06163458228309445,3.7508289453748754e-4,8.892693791021228e-4
HEXIM1,0.06149391000477868,3.8212002236950144e-4,8.999932105807994e-4
CHRDL1,0.060687275483054304,4.250749324697592e-4,9.94619776628587e-4
SIGLEC10,0.05982117588745447,4.765381663545295e-4,0.0011077965165903999
DFFA,0.059720228483636235,4.8292484236334344e-4,0.0011154006036521093
CD160,0.059113050818119274,5.231703558896205e-4,0.0012006088936441291
EIF4G1,0.058149714645275075,5.939533524641995e-4,0.00135436496931327
ITGA6,0.056992209693711944,6.916633816738467e-4,0.001567186649615425
CXCL10,0.05681435544838222,7.080282406351353e-4,0.0015941767933797385
IL18,0.05459908279597733,9.470794085626976e-4,0.0021190901766590356
SELPLG,0.05343210180239418,0.0011036203472179764,0.0024540129459877983
CTSO,0.05253831588920836,0.001240638713710134,0.0027416583920260988
SERPINB8,0.05163635378585626,0.0013960061123516334,0.0030660747743673916
PNPT1,0.04914634330117139,0.0019323973965245256,0.004218282121681587
CCL20,0.048503813819985975,0.002101234061332929,0.004543902663559333
TNFSF10,0.04847082836141062,0.0021102859214298312,0.004543902663559333
MEPE,0.048436882411292244,0.0021196417452916446,0.004543902663559333
DPP10,0.048179524717818445,0.002191923179482958,0.004660858563125811
FGF2,0.04815046244635622,0.002200237701587324,0.004660858563125811
PROK1,0.04643806867815394,0.0027495661162681108,0.005790262762494022
SPINT2,0.045411475707781805,0.0031420271451123192,0.006578045134211756
KLRB1,0.044810718421042665,0.0033969614631177195,0.007070419789512463
PSPN,0.04394465608730861,0.003800984814738201,0.007865621755354197
CD79B,0.04304215403381928,0.00427275637641875,0.008791073464125934
WAS,0.042533411319692405,0.004563834292132074,0.009336301009047329
IFNG,0.04205962359142882,0.0048525651149533945,0.009870558586098383
MILR1,0.041622319074150385,0.00513510941644038,0.01038626650330879
ALDH3A1,0.0414580858401946,0.005245385300343823,0.010549707514174654
SPRY2,0.04131121557906414,0.005345990515699524,0.010691981031399048
AOC1,0.04109758627779875,0.0054957512334722035,0.010930438564350272
CRIM1,0.04095138212007773,0.005600636036176148,0.011077501110226857
RAB37,0.04062757462513793,0.00584005216127038,0.011487575130410967
NUDC,0.03976100417064914,0.00653187743459033,0.01277820831466305
IFNGR1,0.03957204058013077,0.006693211023617671,0.013022660578560469
TGFA,0.03849465776383927,0.00769149912454384,0.014884090197765917
BTN3A2,0.03744795951034851,0.008802441666884328,0.016942333960992418
TPT1,0.03728915940111237,0.00898435521630018,0.017199995547783235
CEACAM21,0.03714635282624495,0.009151129369001702,0.01742608677714154
OMD,0.036967818009919065,0.009363953367614019,0.017737012198972585
SIRPB1,0.03648921431734997,0.009959005939127814,0.01876486382214609
LGALS9,0.03639345051350788,0.010082498197243698,0.01889808562624735
GZMA,0.03556666988161532,0.011213834638863222,0.020909129170380382
ENAH,0.03544789521081142,0.011386386970196978,0.0211208628773602
IL5RA,0.03473879178484339,0.012472737822598586,0.023016701755104608
PTPN6,0.03447136380466794,0.01290861649438482,0.023668920210314963
EGLN1,0.03444138956863117,0.012958403243636125,0.023668920210314963
CCL28,0.03437584400834796,0.013067938049966539,0.02374782650704579
ANXA11,0.03202508309066865,0.017666432015909356,0.03194233667523005
METAP1D,0.031655226881926596,0.018523437009850843,0.033323570098123624
