protein,eta_squared,p_value,p_fdr,PC1,PC2
FLT3LG,0.5146831317456995,1.1672070932693803e-39,4.642890437671536e-38,-0.012254878549181614,0.11733161183235277
IL17D,0.32216692214438425,1.1460987355666152e-21,1.4215631537911707e-20,-0.021633247626091975,0.09381353814752316
EPO,0.25622705334301543,1.1444763705208685e-16,1.078217212227555e-15,-0.001661460806052223,-0.035421315876751826
IL17F,0.2319002797207059,6.191320156007911e-15,4.6176929496892335e-14,-0.0038504328163455137,0.07645150535141466
IL17C,0.1911254967099344,3.778001460345822e-12,2.0492795800057638e-11,-0.0029007135633979373,0.07065893309362802
CXCL12,0.14306293439528167,4.849166274758067e-9,1.9727290072311228e-8,-0.04183564310852316,-0.027210554329105765
CXCL8,0.1314942618151917,2.5574893143754972e-8,9.951969288548132e-8,-0.06457799233470887,0.03182290154640814
IL15,0.1249304516852905,6.505471919830396e-8,2.400988605463177e-7,-0.004192764945151965,0.0701758737817111
CRLF1,0.12159878466618108,1.0421328122945933e-7,3.730835468014644e-7,-0.016119874939633086,0.08692957114450597
TNFSF12,0.11830519799509089,1.657550519595367e-7,5.875278079357834e-7,-0.05975526970246081,-0.003831130196837985
CXCL9,0.1122296241013086,3.884011126014486e-7,1.324262841060177e-6,-0.03330986280846315,-0.009734846405378155
CXCL17,0.11010053713268032,5.22729650233371e-7,1.7654454224862906e-6,2.705776476603268e-4,-0.01502457699122694
IL5,0.1007609775837866,1.9077346018548706e-6,6.043973340389767e-6,-0.015463287770118765,-0.027131270496950403
CCL24,0.09888817720558073,2.4692057723151244e-6,7.686744925989692e-6,-0.03960429665163913,0.053435213098147985
CXCL14,0.0966652385499352,3.351518498304335e-6,1.008271951590716e-5,-0.0199445150223658,-0.03186516012936241
CCL22,0.0848362720395483,1.682097035575153e-5,4.8175259098872374e-5,-0.030872720497176306,-0.015314452191728127
CSF1,0.07916767190409493,3.6173387110578714e-5,1.0117244207489984e-4,-0.04093690593763422,0.07389805111930724
TNF,0.07599138582483679,5.544041593054982e-5,1.4923059325666797e-4,-0.03743144285547037,0.002909654723866037
IL1A,0.0693493677999364,1.347559379068575e-4,3.4214628206138286e-4,-0.03959842068830294,0.03272599740888148
IL7,0.06876125560642797,1.4573656812714964e-4,3.674203618980252e-4,-0.06593677351811815,-0.03733942624076734
