protein,n_synf,n_ctrlf,p_value,p_fdr
ACTN4,41,42,0.4710121083671921,1
ADA,41,42,0.25830368546091703,1
ADAM23,41,42,0.4822638560285441,1
ADGRE2,41,42,0.26606613494889586,1
AGER,41,42,0.7136483804017049,1
AGRN,41,42,0.7614997475241579,1
AGRP,41,42,0.2218273900523869,1
ALDH3A1,41,42,0.4221952155729392,1
AMBN,41,42,0.7614997475241579,1
AMN,41,42,0.5710617233118633,1
ANGPT1,41,42,0.9891588188175907,1
ANGPTL2,41,42,0.6537479778456265,1
ANGPTL4,41,42,0.6801262811709131,1
ANXA11,41,42,0.2506979540509149,1
AOC1,41,42,0.9098446790172188,1
ARHGEF12,41,42,0.19539513844872133,1
ARNT,41,42,0.6086152385433862,1
ARTN,41,42,0.4822638560285441,1
ATP5IF1,41,42,0.8740377851351513,1
AXIN1,41,42,0.4489447626359347,1
B4GALT1,41,42,0.7477264501483714,1
BACH1,41,42,0.33843235095147395,1
BANK1,41,42,0.3618960319164869,1
BCR,41,42,0.3667069748735292,1
BSG,41,42,0.14441553379342803,1
BTN2A1,41,42,0.14695280022436122,1
BTN3A2,41,42,0.960264053498391,1
C1QA,41,42,0.17712587660296225,1
CASP2,41,42,0.17132493589637962,1
CCL11,41,42,0.2621652816328558,1
CCL13,41,42,0.9891588188175907,1
CCL17,41,42,0.6472181322858683,1
CCL20,41,42,0.7136483804017049,1
CCL21,41,42,0.7001695026091996,1
CCL22,41,42,0.5772443226621816,1
CCL23,41,42,0.02090160015408166,1
CCL24,41,42,0.28616152635116593,1
CCL25,41,42,0.522757517712014,1
CCL26,41,42,0.4822638560285441,1
CCL28,41,42,0.9458336643596891,1
CCL3,41,42,0.1601470760397369,1
CCL4,41,42,0.6801262811709131,1
CCL7,41,42,0.5710617233118633,1
CCN2,41,42,0.7136483804017049,1
CD160,41,42,0.7272162492611288,1
CD200,41,42,0.8883340984505821,1
CD200R1,41,42,0.05373769361154601,1
CD22,41,42,0.17132493589637962,1
CD244,41,42,0.6213704030163435,1
CD276,41,42,0.6537479778456265,1
CD4,41,42,0.7477264501483714,1
CD40,41,42,0.6213704030163435,1
CD48,41,42,0.6277907626407624,1
CD58,41,42,0.42746994267325694,1
CD6,41,42,0.5649104793631483,1
CD70,41,42,0.9709369848585904,1
CD79B,41,42,0.07950323631736082,1
CD83,41,42,0.9314208334018014,1
CD84,41,42,0.3072464425439339,1
CDON,41,42,0.42746994267325694,1
CDSN,41,42,0.7614997475241579,1
CEACAM21,41,42,0.5110143023152617,1
CEP164,41,42,0.18609667389502582,1
CHRDL1,41,42,0.6603041488097462,1
CKAP4,41,42,0.8740377851351513,1
CKMT1A_CKMT1B,41,42,0.41695841545375234,1
CLEC4A,41,42,0.6149784304047602,1
CLEC4C,41,42,0.18307024030016034,1
CLEC4D,41,42,0.4489447626359347,1
CLEC4G,41,42,0.5897021890780707,1
CLIP2,41,42,0.49365855559262845,1
CLSTN2,41,42,0.540625778661184,1
CNTNAP2,41,42,0.5168688214617734,1
COL9A1,41,42,0.6934646186624562,1
COLEC12,41,42,0.9530469556133357,1
CRELD2,41,42,0.39134849888156287,1
CRHBP,41,42,0.7136483804017049,1
CRIM1,41,42,0.7822993194060897,1
CRKL,41,42,0.22881387132033235,1
CRLF1,41,42,0.6149784304047602,1
CSF1,41,42,0.5834579294703031,1
CSF3,41,42,0.3476993718548228,1
