protein,follow_up_timepoint,n_synf,n_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
IL2,V3,41,42,0.673493739572174,-0.05388446126086134,-0.4842715903161111,0.37650266779438846,0.8930028102475492
IL2,V5,41,41,0.3752574401399553,-0.24374792030663514,-0.6782840284143475,0.19078818780107723,0.8250624074832577
IL10RA,V3,41,42,0.5346362924293818,0.25137191322437386,-0.18067280382155326,0.683416630270301,0.8358069549769376
IL10RA,V5,41,41,0.1594317997296655,-0.16173567299603492,-0.595352076981823,0.27188073098975324,0.7046491889286451
PAPPA,V3,41,42,0.7340323528674527,0.006445694474318075,-0.42386258207849886,0.43675397102713504,0.9418766391632547
PAPPA,V5,41,41,0.17573212564211355,-0.3165762577688365,-0.7522383020234162,0.11908578648574325,0.7529758923561972
IL20RA,V3,41,42,0.2739858895438866,-0.17570701724699161,-0.6068639909348861,0.25544995644090285,0.8183649169894438
IL20RA,V5,41,41,0.07336253284757127,-0.3810587804515445,-0.8179586695210914,0.055841108618002344,0.6321136273041945
EIF5A,V3,41,42,0.7533418889042969,0.19193178056297497,-0.23938919500818226,0.6232527561341322,0.9433111059295798
EIF5A,V5,41,41,0.82480650880236,-0.011058033276307373,-0.44395300656246034,0.42183694000984556,0.9964165017853371
JUN,V3,41,42,0.01391787500925932,-0.41129096645068886,-0.8462342075990623,0.023652274697684605,0.8183649169894438
JUN,V5,41,41,0.10459770350065288,-0.39961901405412664,-0.8369168615885384,0.03767883348028511,0.6622286146940412
RAB37,V3,41,42,0.5466482575921847,-0.16871018192413792,-0.5998008803305638,0.2623805164822879,0.8415952188638756
RAB37,V5,41,41,0.8104711684233183,-0.11394629257203773,-0.547197792247431,0.3193052071033555,0.9964165017853371
IL4,V3,41,42,0.45990516513859414,-0.09208811061318728,-0.5226288450652434,0.33845262383886887,0.8239225930080196
IL4,V5,41,41,0.2478100320882864,-0.33940332657523975,-0.7754777981183106,0.09667114496783114,0.7850972698018277
IL1B,V3,41,42,0.3029501054757239,-0.24329006541603,-0.6752250556441834,0.18864492481212347,0.8183649169894438
IL1B,V5,41,41,0.7819927925997132,-0.02802165564235056,-0.4609350129319933,0.4048917016472922,0.9964165017853371
IL33,V3,41,42,0.45440654232553734,-0.03828884424345208,-0.4686363696168039,0.3920586811298997,0.8239225930080196
IL33,V5,41,41,0.0582297624810335,-0.37320347017306865,-0.8099405245697644,0.06353358422362704,0.6321136273041945
LILRB4,V3,41,42,0.8526707763765226,2.7479328974045883e-5,-0.43027965245038985,0.430334611108338,0.9865447689422203
LILRB4,V5,41,41,0.2050613746791471,-0.24562804904546862,-0.6801895758815123,0.18893347779057504,0.7568244550013883
IL13,V3,41,42,0.7546034501442722,-0.10325457770329738,-0.5338553790999512,0.3273462236933564,0.9433111059295798
IL13,V5,41,41,0.33479398317444764,-0.10689120508399001,-0.5400995310911204,0.32631712092314036,0.8143362255792861
IL10,V3,41,42,0.5959767401665277,0.23031525018868026,-0.20145102596191838,0.662081526339279,0.8422526363383754
IL10,V5,41,41,0.7678587197017994,-0.051194931553648626,-0.48415919135442304,0.3817693282471258,0.9959906581639282
ARNT,V3,41,42,0.2944765045037564,-0.2927834545213428,-0.725446148492846,0.1398792394501604,0.8183649169894438
ARNT,V5,41,41,0.9926413687507629,-0.06173887593684569,-0.49473615144715904,0.3712583995734677,0.998218005653857
TNFAIP8,V3,41,42,0.6022812148117992,-0.29734870043300027,-0.730085217812183,0.13538781694618252,0.8422526363383754
TNFAIP8,V5,41,41,0.39553449859272033,-0.30366862793799715,-0.7391100078639584,0.13177275198796412,0.8292029646505347
LTO1,V3,41,42,0.5897021890780707,-0.06997763661565079,-0.5004196767942545,0.36046440356295284,0.8422526363383754
LTO1,V5,41,41,0.46017212088183007,-0.23932322486331514,-0.6738002774797849,0.19515382775315454,0.8762852089132722
ACTN4,V3,41,42,0.3115824863706327,0.10586018711019761,-0.32475561730839175,0.536475991528787,0.8183649169894438
ACTN4,V5,41,41,0.16788951322968487,-0.3641070468280423,-0.8006597037754386,0.07244561011935408,0.7329810455637462
LAP3,V3,41,42,0.6149784304047602,-0.11220201384584962,-0.5428558943882885,0.3184518666965893,0.8533421631197835
LAP3,V5,41,41,0.5547633789274014,-0.20038577366859497,-0.6343894954207623,0.23361794808357236,0.9324192002629563
AMBN,V3,41,42,0.5897021890780707,0.07407548424970488,-0.3563828160107196,0.5045337845101293,0.8422526363383754
AMBN,V5,41,41,0.6578713961411439,0.028929447265079084,-0.4039853436931489,0.46184423822330706,0.9677179476719329
LRRN1,V3,41,42,0.35712440504483134,-0.1853879415472781,-0.6166410369608686,0.2458651538663123,0.8183649169894438
