protein,timepoint,n_synf,n_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
IL2,V1,43,43,0.8324134029618895,0.12756748714565713,-0.2955769204023273,0.5507118946936416,0.9974350922814665
IL2,V3,41,42,0.5148899668788195,0.10848994864280478,-0.32214137641029505,0.5391212736959046,0.962574441529572
IL2,V5,41,41,0.3366529647646211,-0.17288213087452542,-0.6066017850081011,0.26083752325905024,0.9715791351870459
IL10RA,V1,43,43,0.4395138153982058,-0.2614911109996543,-0.6860410345422099,0.16305881254290128,0.9974350922814665
IL10RA,V3,41,42,0.9530469556133357,0.07094977701582275,-0.3594960369292478,0.5013955909608933,0.993568009111052
IL10RA,V5,41,41,0.019923255401255696,-0.5077139132343135,-0.9476960284503723,-0.06773179801825469,0.7858575997553495
PAPPA,V1,43,43,0.763604249140777,-0.01297996199395459,-0.43568898996713074,0.4097290659792216,0.9974350922814665
PAPPA,V3,41,42,0.4879434571374631,0.002649789338394909,-0.4276575358890736,0.4329571145658634,0.9562180802473277
PAPPA,V5,41,41,0.11309943225922155,-0.4500692911130389,-0.8885423739563981,-0.011596208269679664,0.8749579008731869
IL20RA,V1,43,43,0.636413726072373,0.13303061592307974,-0.29015225764095626,0.5562134894871158,0.9974350922814665
IL20RA,V3,41,42,0.24695364966686686,-0.1530318827108299,-0.583983817639387,0.27792005221772714,0.9531863394505088
IL20RA,V5,41,41,0.08287133937651973,-0.46129266877019526,-0.900045711028308,-0.022539626512082578,0.8238908000777784
EIF5A,V1,43,43,0.9208795291713916,-0.044580206435191005,-0.4673384291370105,0.3781780162666285,0.9974350922814665
EIF5A,V3,41,42,0.4766199947061226,0.16326679370994773,-0.2677741996148904,0.5943077870347859,0.9562180802473277
EIF5A,V5,41,41,0.6984123660728777,-0.07586946242868567,-0.5089206461482018,0.35718172129083037,0.9715791351870459
JUN,V1,43,43,0.20844654830235498,0.3163400714743238,-0.1090625153782574,0.741742658326905,0.9974350922814665
JUN,V3,41,42,0.11228792791413918,-0.25373442277646246,-0.6858118873384778,0.17834304178555282,0.9531863394505088
JUN,V5,41,41,0.43596463110628914,-0.2571729720383516,-0.6918948300484176,0.1775488859717143,0.9715791351870459
RAB37,V1,43,43,0.8568130904210148,0.01818891097684359,-0.40452450836894543,0.44090233032263265,0.9974350922814665
RAB37,V3,41,42,0.11437995850028425,-0.22439614460708845,-0.6560885032158958,0.20729621400171894,0.9531863394505088
RAB37,V5,41,41,0.5734905464127721,-0.12516062073145637,-0.5584864138093604,0.3081651723464477,0.9715791351870459
IL4,V1,43,43,0.28187247862198456,0.16543506485637216,-0.25800903073959125,0.5888791604523356,0.9974350922814665
IL4,V3,41,42,0.9891588188175907,0.011191187684062335,-0.41911939502877443,0.44150177039689914,0.9963861751691634
IL4,V5,41,41,0.2713507728603114,-0.29655419790888987,-0.7318778324731985,0.13876943665541874,0.9618175909306087
IL1B,V1,43,43,0.13339400964284426,0.27440504725497766,-0.15033120856248583,0.6991413030724412,0.9974350922814665
IL1B,V3,41,42,0.9491629166453139,-0.05741233127570804,-0.48781027710166447,0.37298561455024837,0.993568009111052
IL1B,V5,41,41,0.1460499564122073,0.2942698939224185,-0.14101652028112965,0.7295563081259666,0.8749579008731869
IL33,V1,43,43,0.6926078785490631,-0.02077612408562624,-0.4434922701021946,0.40194002193094214,0.9974350922814665
IL33,V3,41,42,0.8384842947095064,-0.06097934952373677,-0.49138892904246345,0.36943022999498987,0.9746018750194912
IL33,V5,41,41,0.1594317997296655,-0.4806134600625132,-0.919864157268605,-0.04136276285642143,0.8781012969726193
LILRB4,V1,43,43,0.8500728249136719,0.0066303308322783585,-0.41607532919078855,0.4293359908553453,0.9974350922814665
LILRB4,V3,41,42,0.9242224567563853,-0.014578651577481606,-0.44489163959599537,0.41573433644103214,0.993568009111052
LILRB4,V5,41,41,0.07800035711144383,-0.33079449109595344,-0.7667100977095722,0.1051211155176654,0.8227468565955679
IL13,V1,43,43,0.5588345750302292,0.15331445205857272,-0.27002531469201774,0.5766542188091631,0.9974350922814665
IL13,V3,41,42,0.938624762914225,-0.06216035030532571,-0.49257393601327437,0.3682532354026229,0.993568009111052
IL13,V5,41,41,0.2084069326500556,-0.08542044238914726,-0.5185143289370993,0.3476734441588047,0.9319843256608792
