protein,lrt_chisq,lrt_df,p_value,p_fdr
IL2,1.4125107863443418,2,0.49348866292335253,0.8614718688319216
IL10RA,3.7066872775380943,2,0.15671229999908207,0.7760494874942448
PAPPA,3.038103518232333,2,0.21891937686486507,0.8043673008352368
IL20RA,3.792870064711792,2,0.1501027780745306,0.7760494874942448
EIF5A,0.8920877110545575,2,0.6401556970803941,0.9202227663260678
JUN,4.633541591170456,2,0.09859144403956914,0.7760494874942448
RAB37,0.6863621468775136,2,0.7095097265619296,0.9294716053278546
IL4,2.307250338977724,2,0.3154909855088221,0.8555327144056164
IL1B,1.637975752051716,2,0.4408776516066017,0.8555327144056164
IL33,3.769384225576914,2,0.15187581285219068,0.7760494874942448
LILRB4,2.027368990630009,2,0.3628794856425678,0.8555327144056164
IL13,0.7812005708887,2,0.6766505690732234,0.9294716053278546
IL10,1.741069400776837,2,0.4187275955709225,0.8555327144056164
ARNT,2.4910371584369386,2,0.2877916266701435,0.8439922155429567
TNFAIP8,2.3751362243967833,2,0.3049619963716437,0.8439922155429567
LTO1,1.5016718310963597,2,0.471971859183362,0.8614718688319216
ACTN4,4.995256695778835,2,0.08227990671987209,0.7760494874942448
LAP3,0.7737471788358334,2,0.6791769446532767,0.9294716053278546
AMBN,0.12277613545214194,2,0.9404582074739238,0.9835764529340022
LRRN1,1.5805218924522109,2,0.453726381646257,0.8555327144056164
PREB,1.0600815844434237,2,0.5885809596636457,0.890732950059675
IL24,0.2204527744621032,2,0.8956313528417023,0.9835764529340022
CEP164,2.3953979444139577,2,0.3018880661477018,0.8439922155429567
NBN,0.5095814007177069,2,0.7750787046803347,0.9307852054633672
FCRL3,5.13175661925743,2,0.07685165224425462,0.7760494874942448
PRKAB1,1.2449481843885906,2,0.5366151585182082,0.8614718688319216
PNPT1,0.9712675670313047,2,0.6153071016613233,0.9027866491588268
ARTN,2.773429894944684,2,0.24989487552039755,0.8283552355213178
RABGAP1L,0.27775879005594106,2,0.8703329886145142,0.9779421326186479
NCLN,3.290871209913462,2,0.1929285038742676,0.7760494874942448
IL22RA1,2.698317080606671,2,0.2594584926808321,0.8439922155429567
IL2RB,3.938245893615317,2,0.13957922094833441,0.7760494874942448
MYO9B,2.392930337929215,2,0.3022607664947171,0.8439922155429567
AOC1,2.003901711755475,2,0.3671624609912262,0.8555327144056164
IL20,0.33070311211002945,2,0.8475956743123905,0.9694544773285488
RGS8,1.3128341211445331,2,0.5187065030099043,0.8614718688319216
IL11,4.300095746326178,2,0.11647858144189394,0.7760494874942448
IL17F,1.9646672929297893,2,0.374436276592282,0.8555327144056164
SCGN,10.119292590309954,2,0.006347804365037345,0.3230798306188107
CXCL14,0.60260814070772994,2,0.7398527712463374,0.9294716053278546
MVK,0.6985109922735546,2,0.7052129280717242,0.9294716053278546
WNT9A,0.1544135803176232,2,0.9256984084917911,0.9835764529340022
IL3RA,2.0392983743856803,2,0.36072146368802516,0.8555327144056164
SIT1,2.9436000943417184,2,0.2295119807430091,0.8216528910599726
FXYD5,1.8755254311531644,2,0.3915027592918176,0.8555327144056164
CXCL12,3.0062248171097394,2,0.22243676754940905,0.8043673008352368
NRTN,3.393372983802351,2,0.18328985136968698,0.7760494874942448
DGKZ,3.1405490486973804,2,0.20798807672763728,0.7862023558020971
PADI2,2.850080487202945,2,0.24049878447635287,0.822669382578568
PRKCQ,1.9727584454598173,2,0.3729245260917737,0.8555327144056164
IL17A,1.3950584005140172,2,0.4978137836713025,0.8614718688319216
NFATC3,4.236327497944103,2,0.12025223919900987,0.7760494874942448
GALNT3,2.571773885580484,2,0.276405319175254,0.8439922155429567
IL5,2.4099319285398906,2,0.29970219992282954,0.8439922155429567
TNF,3.4083307257054116,2,0.18192416349190413,0.7760494874942448
TANK,1.21824288895084,2,0.5438284427390829,0.8676097962022123
SPRY2,2.5979098884629366,2,0.27281675282993567,0.8439922155429567
TPT1,1.6134037158732326,2,0.44632769351098944,0.8555327144056164
IL17C,1.041307033757903,2,0.5941321456847605,0.890732950059675
YTHDF3,2.261793609207757,2,0.322743688572985,0.8555327144056164
WAS,3.013150882708487,2,0.22166779398643294,0.8043673008352368
TNFRSF13C,1.6267816401348796,2,0.44335218709026136,0.8555327144056164
IL17D,3.628892378136584,2,0.16292811478029684,0.7760494874942448
MILR1,1.3757483180032182,2,0.5026434742023035,0.8614718688319216
PRDX3,0.39986701927284685,2,0.8187851925932569,0.9505368552016172
ICA1,2.0112192080832756,2,0.3658215605156211,0.8555327144056164
IRAK1,0.5000139813395208,2,0.7787953387513511,0.9307852054633672
IL12RB1,6.773059345127706,2,0.03382586026056463,0.7123328219577728
IL1RL2,5.607519927218021,2,0.06058184831030667,0.7760494874942448
IL1A,0.10130823989265991,2,0.9506074098188959,0.9835764529340022
GBP2,0.8737747356635737,2,0.6460441926711004,0.9202227663260678
FGF5,4.696616049620104,2,0.09553066105939498,0.7760494874942448
CSF3,1.920518126117713,2,0.38279370542042057,0.8555327144056164
AMN,1.4142292256186124,2,0.4930648298823757,0.8614718688319216
ITGB6,4.543191583702935,2,0.10314744682292185,0.7760494874942448
JCHAIN,4.038540265456618,2,0.13275232130428904,0.7760494874942448
IFNG,3.5996960790163257,2,0.16532400903057773,0.7760494874942448
SLAMF1,3.1343943287155867,2,0.20862911676312632,0.7862023558020971
ENAH,0.5008811864494191,2,0.7784577243032192,0.9307852054633672
IL15RA,6.435387820514563,2,0.04004730453388992,0.7145530989526866
PARP1,0.1013287520764834,2,0.9505976603519245,0.9835764529340022
FABP9,2.4477698945357815,2,0.29408543833848366,0.8439922155429567
SRPK2,1.4871471758631287,2,0.4754119498637634,0.8614718688319216
FGF2,0.003932697066943547,2,0.998035583463272,0.998035583463272
ITM2A,0.1403268712745671,2,0.9322414459797966,0.9835764529340022
BACH1,0.07716306452289245,2,0.9621532550110302,0.9898013370515771
IFNLR1,3.370268837662138,2,0.18541950640746818,0.7760494874942448
TRAF2,1.1666143517686578,2,0.5580497427368242,0.876235999560452
SULT2A1,2.8518236156699004,2,0.24028926565542663,0.822669382578568
SPINK4,2.2205967302713248,2,0.32946064683855875,0.8555327144056164
NUB1,0.4051617521594153,2,0.8166204348679248,0.9505368552016172
PSPN,9.665333035245112,2,0.007965253434382504,0.3230798306188107
ALDH3A1,0.9501025327676871,2,0.621853175484227,0.9066927447980352
SH2D1A,0.7405294761080086,2,0.690551491178177,0.9294716053278546
FOXO1,0.5260231819218006,2,0.7687329869055264,0.9307852054633672
VASH1,3.017156363122581,2,0.2212242952374354,0.8043673008352368
METAP1D,0.6294363429229861,2,0.7299945785862226,0.9294716053278546
HLA.DRA,1.5175781144087068,2,0.4682330873278324,0.8614718688319216
TBC1D5,0.5364966209504018,2,0.764717870067679,0.9307852054633672
EPO,9.228478390147416,2,0.009909719903422742,0.3230798306188107
CCL7,7.115534803237324,2,0.028502388117581694,0.6802569964062831
DAPP1,1.2040223921420647,2,0.5477089774907821,0.8676097962022123
EDAR,4.609912967605965,2,0.09976314187169809,0.7760494874942448
TRIM5,0.6481761885402193,2,0.723186530983979,0.9294716053278546
DPP10,1.4189432443056944,2,0.49190404000506144,0.8614718688319216
ITGA6,5.60018856997749,2,0.06080432941942963,0.7760494874942448
FCRL6,2.7760038125152278,2,0.24957347797201124,0.8283552355213178
LSP1,1.2771831844681856,2,0.5280355900054853,0.8614718688319216
STX8,1.1312366604546469,2,0.5680088211276162,0.8787256461973959
HLA.E,1.7462197144739093,2,0.4176506935264712,0.8555327144056164
TRIM21,0.05053643622420623,2,0.9750483513242402,0.9954627357671685
PSIP1,0.5656977894009287,2,0.7536336572958888,0.9307852054633672
IL7,0.7208435500019732,2,0.6973821256854594,0.9294716053278546
SAMD9L,0.47659810046297935,2,0.7879670141379185,0.9309973302355605
SIGLEC10,3.315737806235518,2,0.1905446167611987,0.7760494874942448
ISM1,1.9245560936331856,2,0.38202163081192714,0.8555327144056164
SLC39A5,0.10173588640961384,2,0.950404169574516,0.9835764529340022
BTN3A2,1.7872522449894177,2,0.409169361237247,0.8555327144056164
