protein,eta_squared,p_value,p_fdr,PC1,PC2
HSD11B1,0.7845889047878885,2.1146599124524755e-83,7.570482486579864e-81,-0.002725277666775046,-0.10396531771603942
COLEC12,0.6425017293614519,4.036167820778511e-56,7.224740399193533e-54,-0.013459308584533076,0.13745126320758536
CD22,0.6315430080355766,1.7059389288135375e-54,2.0357537883841547e-52,-0.010202780272276463,-0.08357090400202578
CKAP4,0.6202132339270424,7.293543794402128e-53,6.527721695989906e-51,-0.017951266314104656,0.13515200543146855
SMOC2,0.5949777868211774,2.1250857822197987e-49,1.5215614200693754e-47,-0.016233202217673284,0.13399378832581665
AGRN,0.5890819023436509,1.275420347927578e-48,7.610008075967881e-47,-0.02298370028654996,0.13175665587210036
LTBR,0.5846593683794155,4.810031908695834e-48,2.459987747590155e-46,-0.013840257595016227,0.13565833519705345
CNTNAP2,0.5293118577225127,2.623758978392998e-41,1.1741321428308668e-39,-0.015595660334359017,0.1153317939617413
FLT3LG,0.5146831317456995,1.1672070932693803e-39,4.642890437671536e-38,-0.012254878549181614,0.11733161183235277
LAMA4,0.5103264816249692,3.5352540138882316e-39,1.265620936971987e-37,-0.035740595937272954,0.11518820101222342
ARNT,0.5054550575513543,1.2064653106025235e-38,3.926496192688213e-37,-0.01117927994201469,-0.09125434785475012
ITGB6,0.4656733885398688,1.7702871698036103e-34,5.2813567232474374e-33,-0.013952966047112469,0.0993619336322027
TNFRSF11A,0.4532848818704106,3.036507433834172e-33,8.36207431778949e-32,-0.02935752084003096,0.12670457080660763
FABP1,0.4403852924694987,5.473320335761807e-32,1.399606200144805e-30,-0.021390011423624018,0.10701116084657224
FCRL2,0.4334905653557066,2.4985395456352672e-31,5.9631810489161705e-30,-0.013078052712880341,-0.060407395272709365
PGF,0.43156144906068106,3.808526096553208e-31,8.521577141037803e-30,-0.021888284532251265,0.1316361665043477
NPPC,0.4124620138134478,2.2932840200063118e-29,4.829386348013292e-28,-0.015989480145345337,0.10994767983266969
MATN2,0.3949256875568723,8.795910087056305e-28,1.7494087839811984e-26,-0.016759553914076193,0.12606585224175457
HLA.E,0.3911700164686119,1.8945584535102723e-27,3.569746980824618e-26,-0.012712328597284587,-0.07627677475630715
SPON1,0.3808256426880115,1.5304082291778622e-26,2.7394307302283735e-25,-0.013298354802380358,0.12289651671005437
