antigen,n_synf,n_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr,category
Measles Virus Nucleoprotein (HEK293),41,41,0.0038308083774284147,-0.25056914838750616,-0.6851984011480263,0.18406010437301396,0.13790910158742292,Maternal/MMR-family
Rubella E1,41,41,0.016100796155710723,-0.5111666439201632,-0.9512447358233578,-0.07108855201696868,0.289814330802793,Maternal/MMR-family
Native Measles virus,41,41,0.032245059767555116,-0.5212669646385942,-0.9616294302346853,-0.08090449904250313,0.31431661510419934,Maternal/MMR-family
Mumps Virus Nucleoprotein Recombinant,41,41,0.03492406834491104,-0.4522843344969431,-0.8908121379757694,-0.013756531018116858,0.31431661510419934,Maternal/MMR-family
B. pertussis Pertactin Protein[His],41,41,0.11741597842987728,-0.388171444584501,-0.8252216458329423,0.04887875666394037,0.8453950446951164,Infant-schedule vaccine
Rotavirus VP7 Protein,41,41,0.16132835935523845,-0.26026161408128146,-0.6950276038949257,0.17450437573236277,0.9383913511196558,Infant-schedule vaccine
B. pertussis toxin (mutant),41,41,0.1909920072899316,0.2221004386550961,-0.2121569755057756,0.6563578528159678,0.9383913511196558,Infant-schedule vaccine
Recombinant Poliovirus type 1 Capsid protein (strain Sabin),41,41,0.21567361541701777,-0.21353222066448155,-0.6476864353550658,0.22062199402610264,0.9383913511196558,Infant-schedule vaccine
"Mumps virus nucleoprotein, inactivated pathogen.",41,41,0.2712376930056919,-0.3264165378542205,-0.7622528988628163,0.10941982315437532,0.9383913511196558,Maternal/MMR-family
"Rubella virus nucleoprotein, C-terminal His-tag",41,41,0.38731896339015154,-0.0057635679468065,-0.43865607138452845,0.42712893549091546,0.9383913511196558,Maternal/MMR-family
HPV type 16 L1 Protein (full length),41,41,0.41390387427666375,0.04622431088101099,-0.3867265221290236,0.47917514389104554,0.9383913511196558,Non-vaccine pathogen
HBV Surface Antigen (subtype adw),41,41,0.46064576261216034,-0.27884051814092387,-0.7138829853793941,0.15620194909754637,0.9383913511196558,Infant-schedule vaccine
Diphtheria Toxoid,41,41,0.5063189318722715,0.180048238184588,-0.2537414147102929,0.6138378910794688,0.9383913511196558,Infant-schedule vaccine
Bordetella pertussis Filamentous Hemagglutinin (FHA) - Bulk antigen,41,41,0.5192182312465491,0.23013220304893453,-0.2042256120075602,0.6644900181054293,0.9383913511196558,Infant-schedule vaccine
S. pneumoniae Cell Wall Polysaccharide Antigen,41,41,0.5282558831406997,-0.15651841707059602,-0.5900888488213591,0.27705201468016716,0.9383913511196558,Non-vaccine pathogen
Recombinant HPV type 6 L1 protein (VLP),41,41,0.5373362379504998,0.06594928183434252,-0.3670628990923428,0.4989614627610278,0.9383913511196558,Non-vaccine pathogen
Bordetella pertussis Filamentous Hemagglutinin (FHA) - Nativeantigen,41,41,0.5497217557444034,0.23673905318307184,-0.1977040058111547,0.6711821121772984,0.9383913511196558,Infant-schedule vaccine
Recombinant Human Papilloma Virus type 33 L1 protein (VLP),41,41,0.5631199291522904,-0.20527697985037913,-0.6393355826456237,0.22878162294486543,0.9383913511196558,Non-vaccine pathogen
Clostridium tetani Tetanus Toxoid,41,41,0.5805054846019468,-0.06690717723193958,-0.49992288642236454,0.3661085319584854,0.9383913511196558,Infant-schedule vaccine
"Rubella virus E1, C-terminal SHFc-tag",41,41,0.5906470323550634,-0.14432751028129623,-0.5777963794990264,0.289141358936434,0.9383913511196558,Maternal/MMR-family
Epstein Barr Virus gp125,41,41,0.6002892442719902,-0.1767203999089159,-0.6104771942603959,0.2570363944425642,0.9383913511196558,Non-vaccine pathogen
Respiratory Syncytial Virus A Glycoprotein G,41,41,0.603514439600964,-0.15543953381887063,-0.5890006463899569,0.27812157875221555,0.9383913511196558,Non-vaccine pathogen
B. Pertussis whole-cell (strain tahoma I) Mix&Go,41,41,0.6132523006269883,-0.03536069596887525,-0.46828695244527957,0.39756556050752906,0.9383913511196558,Infant-schedule vaccine
Bordetella pertussis Filamentous Hemagglutinin (FHA),41,41,0.6395358389183323,0.207651834878184,-0.22643388934313086,0.6417375590994989,0.9383913511196558,Infant-schedule vaccine
B. Pertussis whole-cell (strain tahoma I),41,41,0.6696081266571394,-0.028825861625113986,-0.46174048668146944,0.4040887634312415,0.9383913511196558,Infant-schedule vaccine
RotaVirus (Strain SA-11),41,41,0.6831913651556506,-0.057600091074788334,-0.49058367231168487,0.37538349016210826,0.9383913511196558,Infant-schedule vaccine
Rubella Spike Ectodomain (E1-E2),41,41,0.7210503727680669,-0.021382054111096723,-0.4542863150474545,0.41152220682526103,0.9383913511196558,Maternal/MMR-family
HPV type 18 L1 Protein (full length),41,41,0.7314366596303368,0.18215706036898624,-0.2516537306846486,0.6159678514226211,0.9383913511196558,Non-vaccine pathogen
Recombinant Poliovirus type 3 VP3-VP1 capsid protein,41,41,0.7608198893840034,-0.0530430058531697,-0.4860126070240865,0.37992659531774714,0.9383913511196558,Infant-schedule vaccine
"Tetanus Toxoid, Recombinant Heavy Chain Fragment C",41,41,0.7819927925997132,-0.07111307056246492,-0.504144873289728,0.36191873216479814,0.9383913511196558,Infant-schedule vaccine
"Rubella Virus Grade 4, natural antigen.",41,41,0.8600134897737974,-0.08440953046624149,-0.5174986580749966,0.3486795971425137,0.9662176079160256,Maternal/MMR-family
Mumps virus nucleoprotein,41,41,0.8856456928424885,0.29728281421095487,-0.13805275226729674,0.7326183806892065,0.9662176079160256,Maternal/MMR-family
Diphtheria mutated toxin,41,41,0.8856994739230235,-0.001742482744129169,-0.43463414915905185,0.43114918367079347,0.9662176079160256,Infant-schedule vaccine
Native Mumps virus,41,41,0.9702186085677654,-0.17678983735796708,-0.6105473110871453,0.25696763637121123,0.9999999999999993,Maternal/MMR-family
Cytomegalovirus glycoprotein B (gB),41,41,0.9815024756065199,-0.10676646603580064,-0.5399740534814463,0.3264411214098451,0.9999999999999993,Non-vaccine pathogen
Recombinant Poliovirus type 2 VP3-VP1 capsid Protein [His],41,41,0.9999999999999993,-0.025800449482820148,-0.458710491552181,0.4071095925865408,0.9999999999999993,Infant-schedule vaccine
