feature,modality,feature_name,module,kME
CyTOF_Eosinophils,CyTOF,Eosinophils,turquoise,-0.0871646961598081
CyTOF_Neutrophils,CyTOF,Neutrophils,turquoise,-0.0795880863894153
CyTOF_B.cells,CyTOF,B.cells,yellow,0.29218768971015585
CyTOF_NK,CyTOF,NK,turquoise,-0.07285576679151215
CyTOF_CD56bright.CD16neg.NK,CyTOF,CD56bright.CD16neg.NK,turquoise,-0.05764377036945932
CyTOF_CD56dim.CD16pos.NK,CyTOF,CD56dim.CD16pos.NK,turquoise,0.07620425672761057
CyTOF_CD123pos,CyTOF,CD123pos,turquoise,-0.0821301219029927
CyTOF_Basophils,CyTOF,Basophils,turquoise,-0.11777818528948145
CyTOF_pDCs,CyTOF,pDCs,turquoise,-0.0356352925993696
CyTOF_mDCs,CyTOF,mDCs,blue,0.25431583091491683
CyTOF_Classical.monocytes,CyTOF,Classical.monocytes,blue,0.24362636345738062
CyTOF_Intermediate.monocytes,CyTOF,Intermediate.monocytes,turquoise,-0.1132069247987919
CyTOF_Nonclassical.monocytes,CyTOF,Nonclassical.monocytes,turquoise,0.07282207366059745
CyTOF_T.cells,CyTOF,T.cells,red,0.922314633346291
CyTOF_CD4T,CyTOF,CD4T,red,0.9709110090177159
CyTOF_CD4T.TCM,CyTOF,CD4T.TCM,red,0.7937846491829893
CyTOF_CD4T.Naive,CyTOF,CD4T.Naive,red,0.9299439093633816
CyTOF_CD4T.TEMRA,CyTOF,CD4T.TEMRA,turquoise,0.16657390397008745
CyTOF_CD4T.TEM,CyTOF,CD4T.TEM,turquoise,0.14750131066908534
CyTOF_Tregs,CyTOF,Tregs,red,0.9095075563539526
CyTOF_CD8T,CyTOF,CD8T,turquoise,0.02714207193983975
CyTOF_CD8T.TCM,CyTOF,CD8T.TCM,brown,0.540855246148105
CyTOF_CD8T.Naive,CyTOF,CD8T.Naive,red,0.648630810278478
CyTOF_CD8T.TEMRA,CyTOF,CD8T.TEMRA,brown,0.4673221232210197
CyTOF_CD8T.TEM,CyTOF,CD8T.TEM,brown,0.5877697087547369
CyTOF_HLADRpos.T,CyTOF,HLADRpos.T,turquoise,0.06653937270926008
CyTOF_TCRgd.cells,CyTOF,TCRgd.cells,turquoise,0.07684407241269571
Olink_IL2,Olink,IL2,turquoise,0.1225976115983366
Olink_IL10RA,Olink,IL10RA,turquoise,0.20955524108463958
Olink_PAPPA,Olink,PAPPA,turquoise,0.19971671850179748
Olink_IL20RA,Olink,IL20RA,yellow,0.4709825680141747
Olink_EIF5A,Olink,EIF5A,turquoise,0.21383170249866346
Olink_JUN,Olink,JUN,turquoise,0.6630636839428984
Olink_RAB37,Olink,RAB37,turquoise,0.8341062687219161
Olink_IL4,Olink,IL4,turquoise,0.33515818315072443
Olink_IL1B,Olink,IL1B,turquoise,0.48722512902829845
Olink_IL33,Olink,IL33,turquoise,0.36635125616835734
Olink_LILRB4,Olink,LILRB4,brown,0.6304639260396719
Olink_IL13,Olink,IL13,yellow,0.31080626818586166
Olink_IL10,Olink,IL10,brown,0.6633752896143371
Olink_ARNT,Olink,ARNT,yellow,0.7097875992317834
Olink_TNFAIP8,Olink,TNFAIP8,turquoise,0.6570153310208978
Olink_LTO1,Olink,LTO1,turquoise,0.34932881691141904
Olink_ACTN4,Olink,ACTN4,turquoise,0.6224272235600871
Olink_LAP3,Olink,LAP3,turquoise,0.6555179527309676
Olink_AMBN,Olink,AMBN,blue,0.3538196947563329
Olink_LRRN1,Olink,LRRN1,blue,0.7603112530763159
Olink_PREB,Olink,PREB,turquoise,0.3689275496404251
Olink_IL24,Olink,IL24,turquoise,0.10948285369278583
Olink_CEP164,Olink,CEP164,turquoise,0.7622123967136193
Olink_NBN,Olink,NBN,turquoise,0.8674498887616596
Olink_FCRL3,Olink,FCRL3,turquoise,0.15810593613753848
Olink_PRKAB1,Olink,PRKAB1,turquoise,0.8535620820675116
Olink_PNPT1,Olink,PNPT1,turquoise,0.7411947551407598
Olink_ARTN,Olink,ARTN,turquoise,0.23079090075606068
Olink_RABGAP1L,Olink,RABGAP1L,turquoise,0.835946237862498
Olink_NCLN,Olink,NCLN,turquoise,0.22350213689006576
Olink_IL22RA1,Olink,IL22RA1,blue,0.4649161729608713
Olink_IL2RB,Olink,IL2RB,yellow,0.5377973889668729
Olink_MYO9B,Olink,MYO9B,turquoise,0.8481328704947424
Olink_AOC1,Olink,AOC1,turquoise,0.19043894090361016
Olink_IL20,Olink,IL20,blue,0.2539567472533713
Olink_RGS8,Olink,RGS8,yellow,0.5662964198255672
Olink_IL11,Olink,IL11,turquoise,0.07009122522779342
Olink_IL17F,Olink,IL17F,blue,0.5026031178569254
Olink_SCGN,Olink,SCGN,blue,0.5034767967606634
Olink_CXCL14,Olink,CXCL14,turquoise,0.20086269191933734
Olink_MVK,Olink,MVK,turquoise,0.3411816554057292
Olink_WNT9A,Olink,WNT9A,turquoise,0.055690307456042275
Olink_IL3RA,Olink,IL3RA,blue,0.3184022834475322
Olink_SIT1,Olink,SIT1,turquoise,0.3358752786132442
Olink_FXYD5,Olink,FXYD5,turquoise,0.8253620656612267
Olink_CXCL12,Olink,CXCL12,turquoise,0.4023389339422449
Olink_NRTN,Olink,NRTN,turquoise,0.17786177271901932
Olink_DGKZ,Olink,DGKZ,turquoise,0.6936760330192522
Olink_PADI2,Olink,PADI2,turquoise,0.3514079821508883
Olink_PRKCQ,Olink,PRKCQ,turquoise,0.33336907899493207
Olink_IL17A,Olink,IL17A,blue,0.2304882129552743
Olink_NFATC3,Olink,NFATC3,turquoise,0.697338330288447
Olink_GALNT3,Olink,GALNT3,turquoise,0.17972222999880189
Olink_IL5,Olink,IL5,turquoise,0.14988269820298392
Olink_TNF,Olink,TNF,brown,0.8358609497246687
Olink_TANK,Olink,TANK,turquoise,0.8431065631895567
Olink_SPRY2,Olink,SPRY2,turquoise,0.7913808365628618
Olink_TPT1,Olink,TPT1,turquoise,0.2610733359627951
Olink_IL17C,Olink,IL17C,blue,0.47478516664221393
Olink_YTHDF3,Olink,YTHDF3,turquoise,0.9538601226577919
Olink_WAS,Olink,WAS,turquoise,0.7455390327099103
Olink_TNFRSF13C,Olink,TNFRSF13C,yellow,0.7008464446553224
Olink_IL17D,Olink,IL17D,blue,0.6217918461178819
Olink_MILR1,Olink,MILR1,brown,0.4866100521750033
Olink_PRDX3,Olink,PRDX3,turquoise,0.8046299815732797
Olink_ICA1,Olink,ICA1,turquoise,0.8935513451060576
Olink_IRAK1,Olink,IRAK1,turquoise,0.9145884007622795
Olink_IL12RB1,Olink,IL12RB1,brown,0.8464639230339354
Olink_IL1RL2,Olink,IL1RL2,blue,0.3432828783863056
Olink_IL1A,Olink,IL1A,turquoise,0.12234925923746401
Olink_GBP2,Olink,GBP2,turquoise,0.6942412717253875
Olink_FGF5,Olink,FGF5,blue,0.4373005439460928
Olink_CSF3,Olink,CSF3,brown,0.35118505102654507
Olink_AMN,Olink,AMN,blue,0.4891413669954378
Olink_ITGB6,Olink,ITGB6,blue,0.760376039258407
Olink_JCHAIN,Olink,JCHAIN,yellow,0.612218864462316
Olink_IFNG,Olink,IFNG,brown,0.6555147864878544
Olink_SLAMF1,Olink,SLAMF1,brown,0.5779740500647251
Olink_ENAH,Olink,ENAH,turquoise,0.4572758988653099
Olink_IL15RA,Olink,IL15RA,brown,0.6407946493154817
Olink_PARP1,Olink,PARP1,turquoise,0.7903214086131211
Olink_FABP9,Olink,FABP9,turquoise,0.08105088489048719
Olink_SRPK2,Olink,SRPK2,turquoise,0.8997387257165227
Olink_FGF2,Olink,FGF2,turquoise,0.6481961185041656
Olink_ITM2A,Olink,ITM2A,blue,0.33640253517170016
Olink_BACH1,Olink,BACH1,turquoise,0.9377311597626288
Olink_IFNLR1,Olink,IFNLR1,yellow,0.7203409442073141
Olink_TRAF2,Olink,TRAF2,turquoise,0.7484829884496895
Olink_SULT2A1,Olink,SULT2A1,blue,0.35679853691693075
Olink_SPINK4,Olink,SPINK4,blue,0.4467021607167717
Olink_NUB1,Olink,NUB1,turquoise,0.9247299530885967
Olink_PSPN,Olink,PSPN,turquoise,0.0746054753227757
Olink_ALDH3A1,Olink,ALDH3A1,turquoise,0.3319262531119097
Olink_SH2D1A,Olink,SH2D1A,turquoise,0.7866265322088987
Olink_FOXO1,Olink,FOXO1,turquoise,0.9314623687893213
Olink_VASH1,Olink,VASH1,turquoise,0.7432990225707367
Olink_METAP1D,Olink,METAP1D,turquoise,0.8743451161847624
Olink_HLA.DRA,Olink,HLA.DRA,turquoise,0.34954991579068545
Olink_TBC1D5,Olink,TBC1D5,turquoise,0.8430956068478804
Olink_EPO,Olink,EPO,yellow,0.4970132647003966
Olink_CCL7,Olink,CCL7,turquoise,0.6534987941111791
Olink_DAPP1,Olink,DAPP1,turquoise,0.869331860817048
Olink_EDAR,Olink,EDAR,turquoise,0.5253774014535588
Olink_TRIM5,Olink,TRIM5,turquoise,0.8889865915534884
Olink_DPP10,Olink,DPP10,turquoise,0.2697832439205991
Olink_ITGA6,Olink,ITGA6,turquoise,0.6017815213846931
Olink_FCRL6,Olink,FCRL6,brown,0.7369738356088403
Olink_LSP1,Olink,LSP1,turquoise,0.8420068007475366
Olink_STX8,Olink,STX8,turquoise,0.893082589195177
Olink_HLA.E,Olink,HLA.E,yellow,0.6432346076875048
