module,trait,correlation,p_value
MEyellow,age_days,0.7668446890357802,2.791766264543245e-49
MEblue,age_days,-0.680272396142609,4.7973009166661253e-35
MEred,age_days,-0.2871597601089015,4.295921088219227e-6
MEbrown,age_days,0.24821204226640828,7.779029076699204e-5
MEgreen,age_days,0.026561377908886147,0.677227636126187
MEturquoise,age_days,0.00508856031572307,0.9364516814874844
MEred,feeding_numeric,-0.14153366131438241,0.025824180243161333
MEyellow,feeding_numeric,-0.05764737361376848,0.36599680178764293
MEgreen,feeding_numeric,0.02843433437867152,0.6558773706010605
MEbrown,feeding_numeric,-0.026438282307784947,0.6786401352333914
MEturquoise,feeding_numeric,-0.023658823200768137,0.7108243905974951
MEblue,feeding_numeric,-0.018022699161589523,0.7776285275505395
MEyellow,timepoint_numeric,0.7668446890357804,2.791766264543006e-49
MEblue,timepoint_numeric,-0.6802723961426091,4.7973009166661253e-35
MEred,timepoint_numeric,-0.2871597601089015,4.295921088219227e-6
MEbrown,timepoint_numeric,0.2482120422664084,7.77902907669914e-5
MEgreen,timepoint_numeric,0.02656137790888613,0.6772276361261871
MEturquoise,timepoint_numeric,0.005088560315723072,0.9364516814874844
