protein,kME
CD48,0.8677658634081781
SLAMF7,0.8532185809628517
IL12RB1,0.8464639230339354
TNF,0.8358609497246687
CXCL10,0.8349939505434207
CXCL9,0.8130266210052213
CD244,0.8002331531648896
KLRB1,0.7905519443127319
KLRD1,0.7868416418833197
SIRPB1,0.7821291991631748
SIGLEC1,0.7386363614932963
FCRL6,0.7369738356088403
SIGLEC10,0.7348598972367102
FASLG,0.7246745997783296
LGALS9,0.7216914440320877
TNFSF10,0.7208483896426298
LAMP3,0.7073286576482868
CD160,0.7030689881364623
OSCAR,0.700853465314033
GZMA,0.6986600869402293
NCR1,0.6825274471152338
IL10,0.6633752896143371
IFNG,0.6555147864878544
IL32,0.6540742574408548
IL15RA,0.6407946493154817
LILRB4,0.6304639260396719
C1QA,0.6173415347382376
LY75,0.5896695312121948
CD83,0.589210482993043
SLAMF1,0.5779740500647251
MILR1,0.4866100521750033
CD79B,0.453062750532424
IL12B,0.4325871549359111
NFASC,0.3949569997022469
TLR3,0.3553953830326425
TNFRSF11B,0.3537026738600589
CSF3,0.35118505102654507
