module,timepoint,n_synf,n_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
blue,V1,43,41,0.5808646450236932,0.11133285145168151,-0.31683468732923326,0.5395003902325962,0.6970375740284318
blue,V3,40,42,0.6477877190450941,-0.06984672397225482,-0.5030023553666844,0.3633089074221747,0.777345262854113
blue,V5,41,41,0.44348687132460457,-0.21024664043422095,-0.6443623526392167,0.22386907177077478,0.664563418457537
brown,V1,43,41,0.3679917614544994,0.2488120674172529,-0.18070771094864987,0.6783318457831556,0.5519876421817491
brown,V3,40,42,0.8790075976392819,0.04691169076651911,-0.3861697168640414,0.47999309839707965,0.8790075976392819
brown,V5,41,41,0.026754665286259638,-0.436277627407058,-0.8744158948171572,0.0018606400030412584,0.08026399585877891
green,V1,43,41,0.3446854414103178,0.161409268187192,-0.26713171044919015,0.5899502468235742,0.5519876421817491
green,V3,40,42,0.5702355461242321,-0.1116970763443498,-0.5450632276688023,0.32166907498010266,0.777345262854113
green,V5,41,41,0.664563418457537,0.10145299458919353,-0.3317239322213043,0.5346299213996913,0.664563418457537
red,V1,43,41,0.14039837943325817,-0.36381181579192834,-0.795248399314447,0.067624767730590285,0.5519876421817491
red,V3,40,42,0.14985043965612432,-0.31123746550214487,-0.7469351652810612,0.1244602342767715,0.5616548945943791
red,V5,41,41,0.2673255973681962,-0.2449621310778339,-0.6795146327523367,0.18959037059666892,0.5346511947363924
turquoise,V1,43,41,0.789435196939832,0.10684190417021397,-0.3212988317833376,0.5349826401237656,0.789435196939832
turquoise,V3,40,42,0.31149134316086957,-0.19797724252082557,-0.6320829189890097,0.23612843394735858,0.6229826863217391
turquoise,V5,41,41,0.5925088996377996,-0.05753964564359235,-0.49052303391504404,0.3754437426278593,0.664563418457537
yellow,V1,43,41,0.3051405603097041,0.25667687802560246,-0.17295129309860818,0.686305049149813,0.5519876421817491
yellow,V3,40,42,0.18721829819812635,-0.27043048222936034,-0.70547367720013,0.16461271274140937,0.5616548945943791
yellow,V5,41,41,0.015340124961987727,-0.4949243059520875,-0.9345563942928243,-0.055292217611350614,0.08026399585877891
